,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,22011,Last Vegas,"The cast of Last Vegas keep things amiably watchable, but the film is mostly a mellower Hangover retread for the older set.",46%,146,59%,53993,"The ensemble comedy follows four old friends who decide to throw a Las Vegas bachelor party for the only one of them who has remained single. LAST VEGAS is being produced by Laurence Mark (Julie & Julia, Dreamgirls) and Amy Baer. Nathan Kahane and Lawrence Grey are serving as executive producers. Good Universes Matt Leonetti is co-producing.",PG-13 (for sexual content and language),Comedy,Jon Turteltaub,CBS Films,105 minutes,"Michael Douglas, Robert De Niro, Morgan Freeman"
1,22012,Muscle Shoals,"Essential for soul fans and entertaining for novices, Muscle Shoals offers a compelling, warts-and-all glimpse at one of the most fascinating stories in modern American music.",96%,85,89%,5074,"MUSCLE SHOALS is a documentary about a place filled with magic and music, legend and folklore, where the river is inhabited by a Native American spirit who has lured some of the greatest Rock and Roll and Soul legends of all time, and drawn from them some of the most uplifting, defiant, and important music ever created. In Muscle Shoals, Alabama, music runs through the hills, the river, and the spirit of the people. It is a place where, even before the Civil Rights Movement really took shape, the color of your skin didnt matter inside the studio. (C) Magnolia","PG (for thematic elements, language, smoking and brief partial nudity)","Documentary, Musical & Performing Arts, Special Interest","Greg 'Freddy' Camalier, Greg Camalier",Magnolia Pictures,111 minutes,"Gregg Allman, Bono, Bob Dylan"
2,22015,The Starving Games,N/A,0%,9,21%,2613,"The Starving Games stars Maiara Walsh (""Switched at Birth"") as Kantmiss Evershot, the eagle-eyed archer whose bravery and skills inspire the masses along with trending topics on Twitter (R); Cody Allen Christian (""Surrogates,"" ""Pretty Little Liars,"") as Peter Malarkey, the geeky young man who volunteers alongside Kantmiss; Brant Daugherty (""Dancing with the Stars,"" ""Pretty Little Liars,"" ""Days of Our Lives"") as Dale, Kantmisss beau whos left behind to watch - and simmer; Ross Wyngaarden (""Bonnie & Clyde: Justified"") as Marco, a ruthless player handy with a blade; Dean West (""Monster Hunters"") as Seleca, the games controller and Diedrich Bader (Vampires Suck, Meet the Spartans) as President Snowballs, the malevolent, but ratings-conscious ruler. The comedy is directed by Jason Friedberg and Aaron Seltzer (Meet the Spartans, Vampires Suck) and is produced by Peter Safran (The Conjuring, Vampires Suck). (c) Ketchup","PG-13 (for crude and sexual content, comic violence, language and partial nudity)",Comedy,"Jason Friedberg, Aaron Seltzer",Ketchup Entertainment,91 minutes,"Maiara Walsh, Brant Daugherty, Cody Christian"
3,22017,Outside the Law,N/A,86%,7,0%,87,"A woman starting a new life discovers her old life wont go away so easily in this action-drama. Julie Cosgrove (Cynthia Rothrock) was an Federal intelligence agent working on a top secret assignment when she found herself in the middle of an ambush gone wrong which led to the death of the man she loved. Emotionally devastated, Cosgrove turned her back on the government, assumed a new identity, and began a new life. However, she unwittingly becomes involved with a group of people who have been backed into a corner by crime kingpins. Cosgrove feels compelled to help them, but by doing so, she finds herself in deeper than she expected, and tips her hand to her former colleagues, who now want to silence her permanently.",R (violence),"Action & Adventure, Television",Jorge Montesi,Sony Pictures Home Entertainment,100 minutes,"Cynthia Rothrock, Seamus Dever, Dan Lauria"
4,22025,"Won Ton Ton, the Dog Who Saved Hollywood",N/A,20%,5,60%,108,This spoof makes fun of a certain famous German shepherd movie star from the 1920s. The mayhem begins when the head honcho of a financially struggling studio turns a lost dog into a legend. The story features a number of old stars making cameo appearances.,PG,Comedy,Michael Winner,Paramount Pictures,92 minutes,"Madeline Kahn, Bruce Dern, Art Carney"
5,22030,Stephen Tobolowsky's Birthday Party,N/A,100%,12,91%,385,"The documentary Stephen Tobolowskys Birthday Party stars the well-respected character actor as a camera crew follow him around on his birthday, He shares numerous stories about his adventures in Hollywood, and relates a number of strange anecdotes from his remarkable life.",NR,"Comedy, Documentary, Drama, Television",Robert Brinkmann,The Brinkman Company,87 minutes,"Stephen Tobolowsky, Mena Suvari, Ann Hearn"
6,22034,Making the Boys,N/A,95%,19,78%,872,"MAKING THE BOYS tells the story of Mart Crowleys groundbreaking play ""The Boys in the Band"" - from overnight sensation on Broadway, to Hollywoods first gay movie, to cultural landmark and worldwide phenomenon - all the while having a complicated and sometimes controversial relationship with the gay community. No one could have guessed the impact that a small Off-Broadway production would have on the social climate of the 1960s...not to mention how important and monumental it was to gay people at the time, many of whom were still in the closet. MAKING THE BOYS features illuminating and entertaining footage from the period, interwoven with extensive interviews with Crowley; William Friedkin, the Oscar-winning director of the BOYS movie; and a host of luminaries inluding Dominick Dunne, Tony Kushner, Terrence McNally, Edward Albee, Dan Savage, Robert Wagner and many others. It also tracks the trajectories of the original cast members of the play and the movie. -- (C) First Run Features",PG-13,"Documentary, Musical & Performing Arts, Special Interest, Television, Gay & Lesbian",Crayton Robey,First Run Features,93 minutes,"Edward Albee, Mart Crowley, Michael Cunningham"
7,22041,For Those In Peril,"Gentle, deeply felt, and strikingly original, For Those in Peril serves as a powerful calling card for first-time writer-director Paul Wright.",88%,24,68%,967,"Aaron, a young misfit in a remote Scottish community, is the lone survivor of a strange fishing accident that claimed the lives of five men including his older brother. Spurred on by sea-going folklore and local superstition, the village blames Aaron for this tragedy, making him an outcast amongst his own people. Steadfastly refusing to believe that his brother is dead, and possessed by grief, madness and magic, Aaron sets out to recover him.(C) Random Media",NR,Drama,Paul Wright (XVIII),Random Media,85 minutes,"Brian McCardie, George MacKay, Kate Dickie"
8,22042,Philomena,"Based on a powerful true story and led by note-perfect performances from Judi Dench and Steve Coogan, Philomena offers a profoundly affecting drama for adult filmgoers of all ages.",90%,197,89%,52357,"Based on the 2009 investigative book by BBC correspondent Martin Sixsmith, The Lost Child of Philomena Lee, PHILOMENA focuses on the efforts of Philomena Lee (Dench), mother to a boy conceived out of wedlock - something her Irish-Catholic community didnt have the highest opinion of - and given away for adoption in the United States. In following church doctrine, she was forced to sign a contract that wouldnt allow for any sort of inquiry into the sons whereabouts. After starting a family years later in England and, for the most part, moving on with her life, Lee meets Sixsmith (Coogan), a BBC reporter with whom she decides to discover her long-lost son. (c) Weinstein","PG-13 (for some strong language, thematic elements and sexual reference)",Drama,Stephen Frears,The Weinstein Company,98 minutes,"Judi Dench, Steve Coogan, Sophie Kennedy Clark"
9,22043,The Book Thief,"A bit too safe in its handling of its Nazi Germany setting, The Book Thief counters its constraints with a respectful tone and strong performances.",47%,147,73%,50170,"Based on the beloved international bestselling book, The Book Thief tells the story of an extraordinary, spirited young girl sent to live with a foster family in WWII Germany. Intrigued by the only book she brought with her, she begins collecting books as she finds them. With the help of her new parents and a secret guest under the stairs, she learns to read and creates a magical world that inspires them all.",PG-13 (for some violence and intense depiction of thematic material),Drama,Brian Percival,20th Century Fox,130 minutes,"Geoffrey Rush, Emily Watson, Sophie Nélisse"
