,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,30008,5 to 7,"5 to 7 too often settles for rom-com clichés, but they're offset by its charming stars, sensitive direction, and a deceptively smart screenplay.",70%,56,70%,2362,"A chance encounter on the streets of Manhattan draws 20-something aspiring writer Brian (Anton Yelchin) into a passionate love affair with a glamorous French woman (Skyfall Bond girl Bérénice Marlohe). The catch? Shes married, and can only meet him for hotel room trysts between the hours of 5 and 7. As Brian yearns for more than just two hours a day with the woman of his dreams, he learns hard won lessons about life and love. Co-starring Frank Langella, Glenn Close, and Olivia Thirlby, this sexy romance captures the giddy thrill, the pain and the comedy of being young and falling in love. (C) IFC Films",R (for some sexual material),"Comedy, Romance",Victor Levin,IFC Films,95 minutes,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby"
1,30009,Seymour: An Introduction,Seymour Bernstein's genuineness shines so brightly in Seymour: An Introduction that viewers will forgive debuting director Ethan Hawke's reverent treatment.,100%,67,78%,5293,"Seymour Bernstein started playing the piano as a little boy, and by the time he turned 15 he was teaching it to others. He enjoyed a long and illustrious career as a performer before he gave it up to devote himself to helping others develop their own gifts. While Ethan Hawkes gentle, meditative study is a warm and lucid portrait of Bernstein and his exceptional life and work, its also a love letter to the study of music itself, and a film about the patience, concentration, and devotion that are fundamental to the practice of art. Seymour: An Introduction allows us to spend time with a generous human being who has found balance and harmony through his love of music. (C) Sundance Selects",PG (for some mild thematic elements),Documentary,Ethan Hawke,IFC Films,84 minutes,"Seymour Bernstein, Kimball Gallagher, Andrew Harvey"
2,30011,Puffball,N/A,0%,6,13%,381,"A young ambitious architect buys a ruined cottage to transform. But, the building, in an isolated Irish valley, has a history. And, when she finds herself unexpectedly pregnant the neighboring farmers turn against her and her unborn child and try to change the course of nature. A drama with supernatural overtones, a thriller about love, life, grief and sex, ""Puffball"" is an adaptation of the Fay Weldon novel of the same name.",R (for some mild thematic elements),"Drama, Mystery & Suspense, Science Fiction & Fantasy",Nicolas Roeg,Yume Pictures,120 minutes,"Donald Sutherland, Kelly Reilly, Miranda Richardson"
3,30049,The Lookalike,N/A,20%,5,48%,215,"Drug lord William Spinks has a curious obsession with Sadie Hill, and uses family friends Bobby and Frank (John Corbett and Jerry OConnell) to get to her. But when Sadies death jeopardizes a major deal, Bobby and Frank set out to find a replacement - a lookalike (Gillian Jacobs) - to fool Spinks. The shady plan propels an ex-basketball champion, a deaf beauty, an addict, and an aspiring actress into an unlikely romance and a desperate quest to start over.(C) Well Go USA",NR,"Drama, Mystery & Suspense",Richard Gray,Well Go USA,100 minutes,"Jerry O'Connell, Scottie Thompson, Gillian Jacobs"
4,30050,The Anonymous People,N/A,43%,7,65%,133,"Directed by Greg Williams, The Anonymous People features prominent people who are living publicly in long-term recovery, like former NBA star Chris Herren, award-winning actress Kristen Johnston (3rd Rock From the Sun, The Exes), Miss USA 2006 Tara Conner, best-selling author William Cope Moyers, former congressmen Patrick Kennedy and Jim Ramstad - and many others. Their brave testimonies dispel long-standing clichés about addiction and recovery.(C) Kino",NR,"Documentary, Special Interest",Greg D. Williams,Kino Lorber,88 minutes,"Michael Askew, Tara Conner, Roxanne Kibben"
5,30051,The Martian,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",91%,364,91%,131335,"During a manned mission to Mars, Astronaut Mark Watney (Matt Damon) is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watneys safe return. Based on a best-selling novel, and helmed by master director Ridley Scott, THE MARTIAN features a star studded cast that includes Jessica Chastain, Kristen Wiig, Kate Mara, Michael Peña, Jeff Daniels, Chiwetel Ejiofor, and Donald Glover. (C) Fox","PG-13 (for some strong language, injury images, and brief nudity)",Science Fiction & Fantasy,Ridley Scott,20th Century Fox,164 minutes,"Matt Damon, Jessica Chastain, Kristen Wiig"
6,30055,Return to Sender,N/A,14%,35,24%,2516,"Miranda (Academy Award nominee Rosamund Pike, Gone Girl) is a dedicated nurse, an exquisite cake maker and an impeccable friend. But when she agrees to a blind date and the wrong man comes to her door...her perfect world is shattered by a brutal assault. Even after her attacker, William (Shiloh Fernandez, Evil Dead), is convicted and locked away for the crime, Miranda cant overcome the fear and trauma enough to put her orderly life back together. Desperate for closure, she reaches out to William - first through letters, then prison visits - and slowly builds a relationship with him. But when William is paroled and comes looking for her, Miranda seizes the opportunity to exact revenge. (C) RLJE/Image Entertainment",NR,Mystery & Suspense,Fouad Mikati,RLJE/Image Entertainment,105 minutes,"Rosamund Pike, Shiloh Fernandez, Nick Nolte"
7,30059,Magical Universe,N/A,63%,8,70%,132,"Filmed for over a decade, MAGICAL UNIVERSE is a portrait of Al Carbee, an 88 year old strange and reclusive outsider artist who spends his days alone in a massive house in Maine creating art -- mostly featuring Barbie Dolls in elaborate dioramas. The documentary profiles Carbees amazing body of work and his relentlessly creative lifestyle. Carbees story is explored through the prism of his unlikely friendship with New York filmmaker Jeremy Workman, who unexpectedly becomes Carbees closest friend and only link to the outside world. Far beyond just a portrait of an eccentric, MAGICAL UNIVERSE is about wonder, friendship, and the transcendent power of creativity. Its story culminates with Al Carbees greatest triumph as an artist and a man. (C) Sundance",NR,"Documentary, Special Interest",Jeremy Workman,Sundance Selects,78 minutes,"Al Carbee, Jeremy Workman, Astrid von Ussar"
8,30062,Morgan! (Morgan: A Suitable Case for Treatment),N/A,67%,18,78%,1014,"A classic 1960s cult film in the British ""angry young man"" tradition, the hero of this film from Czech director Karel Reisz is more lunatic than agitator. Morgan Delt (David Warner) is an artist from a working class background, married to Leonie (Vanessa Redgrave), a woman far above him in social standing. Given to a rich fantasy life to begin with, Morgan goes off the mental deep end when Leonie informs him that shes asking for a divorce and taking up with art dealer Robert Stephens (Charles Napier), a man more befitting her class. Thoroughly gone around the bend, Morgan enacts a series of bizarre gags and stunts in a campaign to win Leonie back, including putting a skeleton in her bed and crashing her wedding dressed as a gorilla. His antics eventually get Morgan arrested and committed to an asylum, where he embraces his mothers ardent communist beliefs. Redgrave was Oscar nominated for Best Actress for her role, her feature film debut. ~ Karl Williams, Rovi",NR,"Art House & International, Classics, Comedy, Drama",Karel Reisz,Cinema V,93 minutes,"Vanessa Redgrave, David Warner, Robert Stephens"
9,30063,Follow Me: The Yoni Netanyahu Story,N/A,50%,14,76%,130,"Two story arcs that will tragically and heroically connect. The first is the dramatic Entebbe hijack and rescue, 8 days when a nation held its breath and executed a military miracle that redefined the Jewish Nations call ""Never Again!"" The second is the remarkable life story of Jonathan Netanyahu, a young soldier who struggled to find the balance between the people and the Nation he loved. This film is about Jonathans life, and what led these two dramatic story arcs to intersect on that fateful day. -- (C) Official Site",NR,Documentary,"Jonathan Gruber, Ari Daniel Pinchot",International Film Circuit,84 minutes,"Ehud Barak, Benjamin Netanyahu, Shimon Peres"
