,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,14000,Days of Darkness,N/A,20%,5,66%,3267,A civil servant gradually regresses into a fantasy world while falling for a beautiful movie star (Diane Kruger) in director Denys Arcands (The Barbarian Invasions) dark comedy.,"R (for violence and gore, language including sexual references, and brief sexuality/nudity)","Comedy, Horror",Denys Arcand,Lionsgate Films,84 minutes,"Marc Labrèche, Diane Kruger, Sylvie Léonard"
1,14019,Alien Trespass,"An earnest attempt to parody campy 1950s sci-fi films, Alien Trespass eventually loses its charm among tedious dialogue and cheesy special effects.",36%,67,31%,11940,"Set in 1957, ""Alien Trespass"" chronicles a fiery object from outer space that crashes into a mountaintop in the California desert, bringing the threat of disaster to Earth. Out of the flying saucer escapes a murderous creature--the Ghota--which is bent on destroying all life forms on the planet. A benevolent alien from the spaceship, Urp, inhabits the body of Ted Lewis--a local astronomer--and with the help of Tammy, a waitress from the local diner, sets out to save mankind.",PG (for sci-fi action and brief historical smoking),"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",R.W. Goodwin,Roadside Attractions,90 minutes,"Eric McCormack, Jenni Baird, Dan Lauria"
2,14022,"Next Stop, Greenwich Village",N/A,80%,15,64%,506,"Director Paul Mazursky drew from his own formative experiences as a struggling New York actor in Next Stop, Greenwich Village. Lenny Baker plays Mazurskys alter ego, an aspiring Brooklyn-born thespian named Larry Lapinsky. When not parrying with his overprotective Jewish parents (Mike Kellin and Shelley Winters), Larry must contend with his ""method""-happy acting teacher Herbert (Michael Egan); with actress Anita (Lois Smith), who is forever threatening to kill herself over imagined slights; with head-in-the-clouds Greenwich-Village poet Robert (Christopher Walken); and with Bernstein (Antonio Fargas), a black homosexual with an identity problem. Larrys future is threatened when his girl friend Sarah (Ellen Greene) gets pregnant, one of several crises facing this star-crossed couple throughout the film. Keep an eye peeled for young Bill Murray, Joe Spinnell and Jeff Goldblum in minor roles.",R,"Comedy, Drama",Paul Mazursky,20th Century Fox Film Corporation,111 minutes,"Lenny Baker, Shelley Winters, Christopher Walken"
3,14023,Gigantic,"A clever, absorbing documentary about They Might Be Giants, a musical duo whose brainy, idiosyncratic brand of pop has earned them decades of cult success.",82%,45,89%,1000,"John Flansburgh and John Linnell are a pair of musicians who met when they were fellow junior-high misfits in the town of Lincoln, MA. Sharing a fondness for off-center pop music and absurdist humor, the pair decided to form a band, and later moved to Brooklyn, NY, in search of their big break. Adopting a rather unusual two-man lineup (guitar and accordion accompanied by a drum machine), the duo began performing as They Might Be Giants, and their shows were part concert, part performance art, and part edgy comedy. Slowly but surely, They Might Be Giants became one of the biggest bands on the alternative rock scene, and while they never threatened to break into the upper reaches of the Billboard charts, theyve managed to develop a loyal cult following, and after nearly 20 years together, are still recording and performing their one-of-a-kind songs on their own terms. Gigantic (A Tale of Two Johns) is a documentary which looks at the long and sometimes strange history of They Might Be Giants, featuring extensive interviews with Flansburgh and Linnell; thoughts from fellow musicians Frank Black and Syd Straw; endorsements from noted authors Dave Eggers, Gina Arnold, and Michael Azerrad; and readings of the groups lyrics from actors (and fans) Harry Shearer, Janeane Garofalo, Michael McKean, and Annette OToole.",NR,"Documentary, Musical & Performing Arts",AJ Schnack,Cowboy Pictures,102 minutes,"They Might Be Giants, Frank Black, Dave Eggers"
4,14028,Waterland,N/A,53%,15,61%,1743,"Based on the novel by Graham Swift, this drama follows the past and present crises of schoolteacher Tom Crick (Jeremy Irons), who attempts to resolve the problems in his own life and the apathy of his students by relating stories of his troubled childhood in the English Fens (a marshy region in Britain).",R,"Drama, Science Fiction & Fantasy",Stephen Gyllenhaal,Sony Pictures Home Entertainment,95 minutes,"Jeremy Irons, Ethan Hawke, Sinead Cusack"
5,14031,Bandslam,"Bandslam is an intelligent teen film that avoids teen film cliches, in an entertaining package of music and coming-of-age drama.",81%,102,64%,107613,"A gifted young singer-songwriter recruits the new kid in town to manage her fledgling rock band in this music-driven comedy starring Vanessa Anne Hudgens and Gaelan Connell. Charlotte Banks (Aly Michalka) has what it takes to be a true rock star, and with the battle of the bands approaching shes determined to win. Her chief opponent in the upcoming competition is none other than her egotistical ex-boyfriend Ben (Scott Porter). Ben may be cocky, but theres no denying his charisma when he takes the stage. With a little help from new arrival Will Burton (Connell), Charlottes band begins to develop a unique sound and starts writing some original songs. Meanwhile, as Will and singer/guitarist Sa5m (Hudgeons) start to make a love connection, disaster strikes, and the band is forced to choose between conceding the competition or standing tall and finally living up to their true potential.",PG (for some thematic elements and mild language),"Comedy, Drama, Musical & Performing Arts",Todd Graff,Summit Entertainment,111 minutes,"Alyson Michalka, Gaelan Connell, Scott Porter"
6,14033,Harvard Beats Yale 29-29,Harvard Beats Yale 29-29 is compelling viewing even though it spoils the score of the titular college football matchup - and even if you aren't a fan of the sport.,92%,38,76%,553,"Kevin Raffertys documentary Harvard Beats Yale 29-29 looks at this historic 1968 matchup between those two longtime college football rivals. Many recall that years edition of this annual grudge match as it was the first time in almost six decades that both schools were undefeated going into the game. The filmmakers utilize archival footage, and intercut it with new interview footage provided by many of those who played a part in that memorable game. ~ Perry Seibert, Rovi",PG,"Documentary, Sports & Fitness",Kevin Rafferty,Emerging Pictures,105 minutes,"Tommy Lee Jones, Brian Dowling, Vic Gatto"
7,14041,Paper Heart,"Equal parts charming and refreshing, Paper Heart is a quirky mockumentary led by the endearing Charlyne Yi.",60%,110,45%,44729,"Real-life sweethearts Michael Cera and Charlyne Yi star in a fictionalized version of their romance in this indie semi-documentary comedy, written by Yi. Playing themselves, Yi and Cera embark on a scripted version of their own story. In the movie, Yi has agreed to be the subject of a documentary about her quest to discover if love really exists, since shes never experienced it. As part of her participation in the project, she has a film crew follow her around throughout every new development in her love life -- which gets complicated when she starts dating fellow comedian Cera. This portion of the film is all narrative, and was written into the script, but also as part of the documentary, Yi travels the country interviewing various people about their opinions and experiences with love, and these portions of the film are real -- the interviewees are not actors. Melding truth and fantasy, Paper Heart uses equal parts comedy and realism to resolve the ultimate question of whether love is fact or fiction.",PG-13 (for some language),Comedy,Nicholas Jasenovec,Overture Films,89 minutes,"Charlyne Yi, Michael Cera, Jake Johnson (XVI)"
8,14046,Fighting,"Though Fighting has a likable lead performer, and the fight scenes are impressive, the paper-thin plot ultimately unravels.",40%,129,36%,765958,"Small-town boy Shawn MacArthur (Channing Tatum, G.I. Joe: The Rise of Cobra, Public Enemies) knows firsthand that every day in New York City is a struggle to survive. So when scam artist Harvey Boarden (Terrence Howard, Iron Man, Hustle & Flow) gives him a chance to be something more in the brutal underground world of bare-knuckle street-fighting, Shawn decides that he has something worth fighting for and puts everything on the line to win. Each knockout brings him closer to the life he?s always wanted, but also traps him in a dangerous web he can?t escape. Experience even more pounding action with this unrated version not seen in theaters!","PG-13 (for intense fight sequences, some sexuality and brief strong language)","Action & Adventure, Drama",Dito Montiel,Rogue Pictures,105 minutes,"Channing Tatum, Terrence Howard, Brian J. White"
9,14047,Tetro,"A complex meditation on family dynamics, Tetro's arresting visuals and emotional core compensate for its uneven narrative.",70%,107,69%,11723,"On the heels of the self-financed, modestly budgeted 2007 drama Youth Without Youth -- his first directorial outing after a ten-year hiatus -- filmmaker Francis Ford Coppola remains situated in the directors chair for this semi-autobiographical family drama concerning an artistic family of immigrants whose fierce rivalries span several generations. Vincent Gallo stars with newcomer Alden Ehrenreich, with Carmen Maura, Maribel Verdú, and Alden Ehrenreich rounding out the cast. ~ Jason Buchanan, Rovi","R (for language, some sexuality and nudity)","Drama, Mystery & Suspense",Francis Ford Coppola,American Zoetrope,127 minutes,"Vincent Gallo, Alden Ehrenreich, Carmen Maura"
