,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,24000,Coherence,"A case study in less-is-more filmmaking, Coherence serves as a compelling low-budget calling card for debuting writer-director James Ward Byrkit.",88%,88,81%,7615,"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events. Part cerebral sci-fi and part relationship drama, COHERENCE is a tightly focused, intimately shot film whose tension intensely ratchets up as its numerous complex mysteries unfold. (c) Oscilloscope",NR (http://coherencethemovie.com/),"Drama, Science Fiction & Fantasy",James Ward Byrkit,Oscilloscope Pictures,89 minutes,"Emily Foxler, Maury Sterling, Nicholas Brendon"
1,24002,Redwood Highway,N/A,80%,10,52%,283,"Living in a comfortable retirement community in Southern Oregon, estranged from her family, unsatisfied with her surroundings, and generally not happy about life, Marie (Shirley Knight) decides to journey 80 miles on foot to the coast of Oregon to see the ocean for the first time in 45 years and attend her granddaughters wedding as an unexpected guest. Along the way, she meets an extraordinary cast of characters and discovers that youre never too old to learn something about life and about yourself. (c) Monterey Media",PG-13 (for thematic elements including a scene of menace),Drama,Gary Lundgren,Monterey Media,90 minutes,"Shirley Knight, Tom Skerritt, James Le Gros"
2,24004,A Birder's Guide To Everything,N/A,86%,22,68%,1425,"David Portnoy (Kodi Smit-McPhee), a 15-year-old birding fanatic, thinks that hes made the discovery of a lifetime. So, on the eve of his fathers remarriage, he escapes on an epic road trip with his best friends to solidify their place in birding history. (c) Official Site","PG-13 (for language, sex and drug references, and brief partial nudity)",Comedy,Rob Meyer,Screen Media Ventures/Focus Features,87 minutes,"Ben Kingsley, James Le Gros, Kodi Smit-McPhee"
3,24005,A Woman's Tale,N/A,100%,6,89%,44,"Australian director Paul Cox, skilled at intense psychological stories about lone souls looking for comfort in a cold world, was at his best with this original script co-written by the director and Barry Dickins. Martha is a 78-year-old woman living out her final days. Not a maudlin tale of a lonely woman wasting away, A Womans Tale focuses on a human who manages to maintain an amazing vitality in the face of death. She encourages her young nurse, Anna (Gosia Doborowolska), to use her flat for romantic trysts; she looks in on Billy (Norman Kayes), an elderly neighbor, and she resists attempts by her son Johanathan (Chris Haywood) to place her in a nursing home. Sheila Florances performance as Martha is a marvel, especially given the art-imitates-life aspect of production: Florance was terminally ill, and she died soon after she was nominated for the Best Actress Award for Australias Academy Awards.",PG-13,Drama,Paul Cox,Illumination Films,100 minutes,"Sheila Florance, Gosia Dobrowolska, Norman Kaye"
4,24009,Cantinflas,N/A,45%,20,67%,4884,"Cantinflas is the untold story of Mexicos greatest and most beloved comedy film star of all time. From his humble origins on the small stage to the bright lights of Hollywood, Cantinflas became famous around the world - one joke at a time. Relive the laughter that has charmed generations. (C) Pantelion","PG (for thematic elements, language, smoking and some suggestive material)",Drama,Sebastián del Amo,Lionsgate Films,96 minutes,"Oscar Jaenada, Michael Imperioli, Ilse Salas"
5,24010,The Pyramid,"Poorly lit and thinly writ, The Pyramid houses little more than clunky dialogue, amateurish acting, and dusty found-footage scares.",14%,44,21%,13801,"The ancient wonders of the world have long cursed explorers whove dared to uncover their secrets. But a team of U.S. archaeologists gets more than they bargained for when they discover a lost pyramid unlike any other in the Egyptian desert. As they unlock the horrific secrets buried within, they realize they arent just trapped, they are being hunted. (C) Fox",R (for some horror violence and bloody images),Drama,Grégory Levasseur,20th Century Fox,90 minutes,"Ashley Grace, James Buckley (II), Denis O'Hare"
6,24011,Exists,N/A,30%,23,29%,1695,"For five friends, it was a chance for a summer getaway- a weekend of camping in the Texas Big Thicket. But visions of a carefree vacation are shattered with an accident on a dark and desolate country road. In the wake of the accident, a bloodcurdling force of nature is unleashed-something not exactly human, but not completely animal- an urban legend come to terrifying life...and seeking murderous revenge.(C) Lionsgate","R (for language throughout, some violence, sexual content and drug use)",Horror,Eduardo Sánchez,Lionsgate,86 minutes,"Chris Osborn, Roger Edwards, Samuel Davis"
7,24012,Waiting for Armageddon,N/A,79%,19,41%,401,"Filmmakers Kate Davis, David Heilbroner, and Franco Sacchi aim to clarify the abstruse relationship between Christian Zionists and Jews while encouraging dialogue between dissenting groups with this documentary examining the possibility that a substantial American voting block is attempting to create a self-fulfilling prophecy of international holy war. By speaking with Evangelicals in their homes, at conferences, and even during a tour of the site in Israel where they believe Jesus Christ will return to Earth, the filmmakers intertwine Jewish and Christian Zionist perspectives to explore the unique alliance between Evangelical Christians and Israel that could lay the groundwork for the battle of Armageddon. Interviewees include Connecticut evangelicals James and Laura Bagg, McAlester, OK-based Evangelicals Tony and Devonna Edwards, and Salem, OR-based doctor H. Wayne House, each of whom believe we are living in the end times, and that they will all be raptured into the heavens when Christ returns and humanity enters into a violent seven-year period known as ""The Tribulation.""",NR,"Documentary, Special Interest, Faith & Spirituality","David Heilbroner, Kate Davis, Franco Sacchi",First Run Features,74 minutes,"Kate Davis, Franco Sacchi, David Heilbroner"
8,24013,Life Of Crime,"It may not stand shoulder-to-shoulder with the best Elmore Leonard adaptations, but Life of Crime has enough ambling charm -- and a sharp enough cast -- to get by.",68%,80,37%,7599,"Based on Elmore Leonards novel ""The Switch,"" LIFE OF CRIME is a dark caper comedy starring Jennifer Aniston, John Hawkes, Yasiin Bey, Will Forte, Mark Boone Junior, Isla Fisher and Tim Robbins. The wife (JENNIFER ANISTON) of a corrupt real estate developer (TIM ROBBINS) is kidnapped by two common criminals (yasiin bey and JOHN HAWKES), who intend to extort him with inside information about his crooked business and off-shore accounts. But the husband decides hed actually rather not pay the ransom to get back his wife, setting off an unbelievable sequence of double crosses and plot twists that could only come from the mind of Elmore Leonard. (C) Roadside Attractions","R (for language, some sexual content and violence)","Comedy, Drama",Daniel Schechter,Roadside Atrractions,99 minutes,"Jennifer Aniston, Yasiin Bey, Isla Fisher"
9,24015,"As Above, So Below","After an intriguing setup that threatens to claw its way out of found-footage overkill, As Above/So Below plummets into clichéd mediocrity.",26%,77,40%,22248,"Miles of twisting catacombs lie beneath the streets of Paris, the eternal home to countless souls. When a team of explorers ventures into the uncharted maze of bones, they uncover the secret of what this city of the dead was meant to contain. A journey into madness and terror, As Above, So Below reaches deep into the human psyche to reveal the personal demons that come back to haunt us all. Written by John Erick Dowdle and Drew Dowdle (Quarantine, Devil) and directed by John Erick Dowdle, the psychological thriller is produced by Thomas Tull, Jon Jashni, Drew Dowdle and Patrick Aiello. Alex Hedlund serves as the executive producer. (C)Universal","R (for bloody violence/terror, and language throughout)","Documentary, Mystery & Suspense, Special Interest",John Erick Dowdle,Universal Pictures,93 minutes,"Perdita Weeks, Ben Feldman, Edwin Hodge"
