,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,35009,Downtown 81,N/A,79%,28,74%,1856,"The film is a day in the life of a young artist, Jean Michel Basquiat, who needs to raise money to reclaim the apartment from which he has been evicted. He wanders the downtown streets carrying a painting he hopes to sell, encountering friends, whose lives (and performances) we peek into. He finally manages to sell his painting to a wealthy female admirer, but hes paid by check. Low on cash, he spends the evening wandering from club to club, looking for a beautiful girl he had met earlier, so hell have a place to spend the night. Downtown 81 not only captures one of the most interesting and lively artists of the twentieth century as he is poised for fame, but it is a slice of life from one of the most exciting periods in American culture, with the emergence of new wave music, new painting, hip hop and graffiti.",R,"Art House & International, Comedy, Drama","Edo Bertoglia, Edo Bertoglio",Zeitgeist,71 minutes,"Jean Michel Basquiat, Eszter Balint, Anna Schroeder"
1,35014,House Calls,N/A,25%,8,47%,1283,"Recently widowed Dr. Nichols (Walter Matthau) finds himself ill at ease in re-entering the singles scene. Then he meets Ann Atkinson (Glenda Jackson), a patient recuperating from a jaw operation. Freshly divorced from a philandering spouse, Jackson is as reluctant to inaugurate a lasting commitment as Walter--but inaugurate they do, in a hilarious scene wherein Jackson and Walter try to emulate those romantic couples in 1930s movies who were forced by the censors to keep one foot on the floor while lying in bed. It is Jackson who encourages Matthau to stand up for his ideals during a lawsuit involving senile head physician Dr. Willoughby (Art Carney, who is unbearably funny at times). Richard Benjamin rounds off the cast of polished farceurs who add so much sparkle to House Calls. The film was later adapted into a TV sitcom starring Wayne Rogers in the Matthau role, Lynn Redgrave (and later Sharon Gless) in the Jackson counterpart, and David Wayne as a less aphasiatic version of the Carney character.",PG,"Comedy, Romance",Howard Zieff,Universal,98 minutes,"Glenda Jackson, Walter Matthau, Art Carney"
2,35049,Mars Needs Women,N/A,0%,8,10%,184,"In this sci-fi film, lonely Martians wire Earth in hopes of finding fertile women to repopulate their dying world. They are particularly interested in a voluptuous dancing scientist.","NR (adult situations/language, violence)","Classics, Science Fiction & Fantasy",Larry Buchanan,American-International Tel.,80 minutes,"Tommy Kirk, Byron Lord, Yvonne Craig"
3,35052,This Is the End,"Energetic, self-deprecating performances and enough guffaw-inducing humor make up for the flaws in This Is the End loosely written script.",83%,224,71%,181942,"The comedy This Is The End follows six friends trapped in a house after a series of strange and catastrophic events devastate Los Angeles. As the world unravels outside, dwindling supplies and cabin fever threaten to tear apart the friendships inside. Eventually, they are forced to leave the house, facing their fate and the true meaning of friendship and redemption. (c) Sony","R (for crude and sexual content throughout, brief graphic nudity, pervasive language, drug use and some violence)","Action & Adventure, Comedy, Drama, Horror","Seth Rogen, Evan Goldberg",Sony Pictures,107 minutes,"James Franco, Jonah Hill, Seth Rogen"
4,35057,Chi-Raq,"Chi-Raq is as urgently topical and satisfyingly ambitious as it is wildly uneven -- and it contains some of Spike Lee's smartest, sharpest, and all-around entertaining late-period work.",82%,145,50%,8176,"Chi-Raq is a modern day adaptation of the ancient Greek play ""Lysistrata"" by Aristophanes. After the murder of a child by a stray bullet, a group of women led by Lysistrata organize against the on-going violence in Chicagos Southside creating a movement that challenges the nature of race, sex and violence in America and around the world.","R (for strong sexual content including dialogue, nudity, language, some vioelnce and drug use)",Drama,Spike Lee,LionsGate Entertainment,118 minutes,"Nick Cannon, Teyonah Parris, Wesley Snipes"
5,35073,Weekend Of A Champion,N/A,71%,14,74%,178,"In 1971, Motor Racing fan Roman Polanski spent a weekend with world champion driver Jackie Stewart as he attempted to win the Monaco Grand Prix. Polanski was given intimate access to Stewarts world for three days, both on the track and off. The result is an extraordinarily rare glimpse into the life of a gifted athlete at the height of his powers. Forty years on, Polanski and Stewart meet once again. In a remarkable post-script, they discuss the sport, both past and present, with a unique and unmatched perspective.(c) Submarine",NR,"Documentary, Drama, Sports & Fitness",Roman Polanski,Submarine Media,94 minutes,"Roman Polanski, Jackie Stewart, Helen Stewart"
6,35074,Weekend Of A Champion,N/A,71%,14,74%,178,"In 1971, Motor Racing fan Roman Polanski spent a weekend with world champion driver Jackie Stewart as he attempted to win the Monaco Grand Prix. Polanski was given intimate access to Stewarts world for three days, both on the track and off. The result is an extraordinarily rare glimpse into the life of a gifted athlete at the height of his powers. Forty years on, Polanski and Stewart meet once again. In a remarkable post-script, they discuss the sport, both past and present, with a unique and unmatched perspective.(c) Submarine",NR,"Documentary, Drama, Sports & Fitness",Roman Polanski,Submarine Media,94 minutes,"Roman Polanski, Jackie Stewart, Helen Stewart"
7,35085,Truth,Truth's terrific cast and compelling message are often enough to overcome its occasionally didactic and facile dramatization of a nuanced real-life tale.,63%,178,62%,7907,"On the morning of September 9, 2004, veteran CBS News producer MARY MAPES (Cate Blanchett) believed she had every reason to feel proud of a broadcast journalism job well done. By the end of the day, Mapes, CBS News, and the venerable CBS News anchor DAN RATHER (Robert Redford) would be under harsh scrutiny. -- (C) Sony",R (for language and a brief nude photo),Drama,James Vanderbilt,Sony Pictures,125 minutes,"Robert Redford, Cate Blanchett, Topher Grace"
8,35086,The Letters,"The Letters tries to honor Mother Teresa with an unstintingly positive portrayal of her life and works, but ends up smothering a fascinating real-life story under a bland hagiography.",29%,38,66%,2728,"MOTHER TERESA, recipient of the Nobel Peace Prize, is considered one of the greatest humanitarians of modern times. Her selfless commitment changed hearts, lives and inspired millions throughout the world. THE LETTERS, as told through personal letters she wrote over the last 40 years of her life, reveal a troubled and vulnerable women who grew to feel an isolation and an abandonment by God. The story is told from the point of view of a Vatican priest charged with the task of investigating acts and events following her death. He recounts her lifes work, her political oppression, her religious zeal and her unbreakable spirit.",PG (for thematic material including some images of human suffering),Drama,William Riead,Freestyle Releasing,114 minutes,"Juliet Stevenson, Max von Sydow, Rutger Hauer"
9,35103,Desert Fury (Desert Town),N/A,57%,7,73%,70,"Desert Fury is a rarety for the 1940s, a Technicolor ""film noir."" Set in a Nevada gambling town, the story concerns the various misadventures, romantic and otherwise, of Paula Haller (Lizabeth Scott), the rebellious daughter of gambling-house proprietress Fritzie Haller (Mary Astor, who steals the picture). Though no better than she ought to be, Fritzie is determined that Paula will not grow up as a ""shady lady"", but shed fighting an uphill battle. John Hodiak plays crooked gambler Eddie Bendix (John Hodiak), who tries to exploit Paulas fascination with him for his own gain. Thank heaven that upright lawman Tom Hanson (Burt Lancaster) is on hand to rescue the heroine from the machinations of Bendix and his partner-in-perfidy Johnny Ryan (Wendell Corey). Desert Fury was adapted from the far racier and more explicit novel by Ramona Stewart.",NR,"Classics, Drama",Lewis Allen,Paramount Pictures,95 minutes,"Lizabeth Scott, Mary Astor, Burt Lancaster"
