,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,42022,Burn Country,N/A,60%,15,42%,204,"A former war correspondent in Afghanistan returns to the U.S. and settles in a small town in Northern California, where he lands a job with the local newspaper on the crime beat, but he quickly realizes the bohemian area has some secrets that certain people do not want disturbed.",NR,Drama,Ian Olds,ACE Productions,102 minutes,"Dominic Rains, Melissa Leo, James Franco"
1,42027,Trespass Against Us,"Trespass Against Us benefits from Michael Fassbender and Brendan Gleeson's typically strong performances, even when they aren't quite enough to balance the story's narrative drift and awkward tonal shifts.",57%,69,25%,1300,"TRESPASS AGAINST US is set across three generations of the Cutler family who live as outlaws in their own anarchic corner of Britains richest countryside. Chad Cutler (Michael Fassbender) is heir apparent to his bruising criminal father, Colby (Brendan Gleeson) and has been groomed to spend his life hunting, thieving and tormenting the police. But with his own son, Tyson (Georgie Smith) coming of age, Chad soon finds himself locked in a battle with his father for the future of his young family. When Colby learns of Chads dreams for another life he sets out to tie his son and grandson into the archaic order that has bound the Cutler family for generations. He engineers a spectacular piece of criminal business involving a heist, a high-speed car chase and a manhunt, which leaves Chad bruised and bloodied and with his very freedom at stake. With the law cracking down and his father tightening his grip, Chad is forced into increasingly desperate measures. Featuring incredible performances - and an astonishing score by The Chemical Brothers - TRESPASS AGAINST US is at once an exhilarating crime thriller and a profoundly moving story about love and family.","R (for pervasive language, some disturbing behavior and brief graphic nudity)","Action & Adventure, Art House & International, Drama",Adam Smith,A24 and DIRECTV,99 minutes,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal"
2,42030,Claire in Motion,N/A,59%,17,29%,159,"Three weeks after Claires husband has mysteriously disappeared, the police have ended their investigation and her son is beginning to grieve. The only person who hasnt given up is Claire. Soon she discovers his troubling secrets, including an alluring yet manipulative graduate student with whom he had formed a close bond. As she digs deeper, Claire begins to lose her grip on how well she truly knew her husband and questions her own identity in the process. Claire in Motion twists the missing person thriller into an emotional take on uncertainty and loss.",NR,Drama,"Annie J. Howell, Lisa Robinson",Breaking Glass Pictures,80 minutes,"Betsy Brandt, Anna Margaret Hollyman, Zev Haworth"
3,42054,Past Life,N/A,78%,27,72%,497,"Follow two rebellious Israeli sisters, in 1977, as they delve into the dark mystery of their fathers life in Poland during World War II.",NR,"Art House & International, Drama",Avi Nesher,Metro Communications,109 minutes,"Nelly Tagar, Joy Rieger, Doron Tavory"
4,42057,I'm Not Ashamed,N/A,20%,10,82%,2604,"""Ive always been drawn to hands. I think its because its the way we touch people,"" Columbine High School student Rachel Joy Scott wrote in her journal. ""If one person could go out of their way to show compassion, it could start a chain reaction."" Growing up, Rachel knew the love of God, but she wasnt always ready to receive it. At times her faith was on fire ... and at other times it was at odds with her everyday life. As she wrote in her journal: ""I dont understand why having a walk with God is so hard for me. Im so weak. At school, with friends, at work."" Having reached a breaking point when her relationship with a non-believing boyfriend ended, Rachel found inspiration from her ""big brother""-a former homeless teen she helped lead to Christ. After praying, ""Father, use my life to touch the world and let your light shine through me,"" her renewed commitment to Jesus played out compassionately and powerfully at her high school ... and around the world. Pure Flix presents IM NOT ASHAMED, the inspiring true story of Rachel Joy Scott at Columbine High School. When her hopes and dreams seemed to end, God was just getting started. Opening in theaters October 21, IM NOT ASHAMED stars Masey McLain, Ben Davies, Sadie Robertson, Korie Robertson, Jaci Velasquez, and Jennifer ONeill. Based on Rachels honest and heartfelt journals, IM NOT ASHAMED is a hope-filled reminder that when we put our lives in Gods hands, we can make a world of difference.","PG-13 (for thematic material, teen drinking and smoking, disturbing violent content and some suggestive situations)",Drama,Brian Baugh,Pure Flix,112 minutes,"Masey McLain, Sadie Robertson, Ben Davies"
5,42059,Rupture,"Derivative and clumsily assembled, Rupture manages the tricky feat of making arachnophobia seem dull.",18%,34,16%,987,"RUPTURE follows Renee Morgan (Noomi Rapace), a single mom, who is deathly terrified of spiders. While in route to meet up with a friend, she is violently abducted by a group of strangers. After enduring intense yet strange questioning and examinations, some about her fear of spiders, Renee soon discovers that she is now the subject of an underground experiment. Her captors explain to her that she has a genetic abnormality that can potentially allow her to ""rupture"" and reveal her alien nature. Renee must find a way to escape before it is too late.",NR,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Steven Shainberg,AMBI Media Group,100 minutes,"Noomi Rapace, Peter Stormare, Kerry Bishé"
6,42066,Summer Love (Dead Man's Bounty),N/A,33%,12,15%,355,"Val Kilmer stars as the corpse of a wanted man in this western exploring the greed and iniquity of the lawless frontier. When a stranger rides into a small town toting the lifeless body of a noted outlaw, his intentions are to collect the bounty and be on his way. But the situation becomes complicated when the stranger sits down for a high-stakes card game with the drunken sheriff. With nothing to wager but the body he arrived with, the stranger calls the sheriffs bluff and goes all in. Later, despite the fact that he lost the game, the stranger vows to keep the corpse at all costs.",R,"Art House & International, Western",Piotr Uklanski,Barnholtz Entertainment,94 minutes,"Boguslaw Linda, Karel Roden, Katarzyna Figura"
7,42091,The Late Bloomer,N/A,20%,10,22%,449,"Dr. Pete Newmans (Johnny Simmons) is a successful sex therapist whose practice is devoted to helping people re-channel their sexual impulses. When his doctors discover a pituitary tumor that has delayed his onset of puberty for 15 years, Pete undergoes what would normally be years of puberty in a matter of weeks. Mood swings, voice changes, acne and, of course, near uncontrollable erections greet Pete as he tries to navigate life as both a horny 15 year-old kid and a 30 year-old desperate to be a complete man and get the girl of his dreams. Based on the book ""The Late Bloomer: A Memoir of My Body"" by Ken Baker.","R (for sexual content, nudity and language)",Comedy,Kevin Pollak,Eclectic Pictures,90 minutes,"Johnny Simmons, Maria Bello, Brittany Snow"
8,42096,Rings,"Rings may offer ardent fans of the franchise a few threadbare thrills, but for everyone else, it may feel like an endless loop of muddled mythology and rehashed plot points.",8%,111,23%,22012,"A new chapter in the beloved RING horror franchise. A young woman becomes worried about her boyfriend when he explores a dark subculture surrounding a mysterious videotape said to kill the watcher seven days after he has viewed it. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before...","PG-13 (for violence/terror, thematic elements, some sexuality and brief drug material)","Drama, Horror",F. Javier Gutiérrez,Paramount Pictures,117 minutes,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki"
9,42140,Margarita with a Straw,"Elevated by a unique perspective and a magnetic lead performance, Margarita with a Straw puts some welcome spins on the coming-of-age genre.",86%,21,81%,320,"Laila is a young romantic, a secret rebel in a wheelchair. Undeterred by cerebral palsy, she embarks on a journey of sexual discovery. Her exhilarating adventures cause a rift both within herself and with those she is closest to. Ultimately, it is in the intensity of these bonds that she finds the strength to be truly herself.",NR,Drama,"Nilesh Maniyar, Shonali Bose",Wolfe Releasing,100 minutes,"Kalki Koechlin, Revathy, Sayani Gupta"
