,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,36013,Eddie The Eagle,"Eddie the Eagle's amiable sweetness can't disguise its story's many inspirational clichés -- but for many viewers, it will be more than enough to make up for them.",82%,197,82%,22822,"Inspired by true events, Eddie the Eagle is a feel-good story about Michael ""Eddie"" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics. From producers of Kingsman: The Secret Service, Eddie the Eagle stars Taron Egerton as Eddie, the loveable underdog with a never say die attitude.","PG-13 (for some suggestive material, partial nudity and smoking)",Drama,Dexter Fletcher,20th Century Fox,105 minutes,"Taron Egerton, Hugh Jackman, Christopher Walken"
1,36015,Fitoor,N/A,15%,13,46%,324,A love story based on Charles Dickens Great Expectations.,NR,"Art House & International, Drama, Romance",Abhishek Kapoor,Disney India,140 minutes,"Katrina Kaif, Aditya Roy Kapoor, Tabu"
2,36022,Dracula's Dog,N/A,14%,7,23%,1318,"A canine variation on the vampire legend. Michael Pataki, Reggie Nalder, Jose Ferrer, Jan Shutan. Linda: Libbie Chase. Steve: John Levin. Mrs. Parks: Cleo Harrington.",R,"Horror, Mystery & Suspense",Albert Band,Vic Productions,85 minutes,"Michael Pataki, Reggie Nalder, José Ferrer"
3,36030,Violet,N/A,82%,17,56%,219,"During a routine trip to the mall, 15-year-old Jesses best friend is violently attacked at random. The attackers do not confront or acknowledge Jesse, and Jesse does not engage or pursue the attackers... he simply backs away. Why did this happen? Could Jesse have done more? Did he have an obligation? These are the questions posed by VIOLET, a carefully calibrated character study of the process of coping in the midst of senseless trauma. Jesses parents and friends all seem to have their own (often destructive) reactions to the incident, but its the parents of the victim to whom he develops a strange connection. Shot partially on 8-perf 65mm film by acclaimed cinematographer Nicolas Karakatsanis (Bullhead, The Drop), Bas Devos meticulously calculated debut is constructed like a series of lush photographs. In each of the films compositions we see a sophisticated mosaic of loss, the permanence of trauma, and the tumult of youth.",NR,Drama,Bas Devos,Altered Innocence,82 minutes,"César De Sutter, Cesar DeSutter, Koen De Sutter"
4,36032,Exposed,"Exposed lays its flaws fittingly bare for all but the least discerning viewers to see, starting with a dull yet convoluted plot that utterly overpowers the efforts of an intriguing cast.",8%,25,16%,1207,A police detective investigates the truth behind his partners death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.,"R (for violence including a sexual assault, and for language)","Drama, Mystery & Suspense",Gee Malik Linton,Lionsgate Premiere,102 minutes,"Ana de Armas, Keanu Reeves, Christopher McDonald"
5,36038,My King (Mon roi),"My King uses a medical catastrophe as the catalyst for a fully realized, thought-provoking look at love and co-dependency.",71%,73,77%,519,"Tony is admitted to a rehabilitation center after a serious skiing accident. Dependent on the medical staff and pain relievers, she takes time to look back on a turbulent relationship that she experienced with Georgio. Why did they love each other? Who is this man that she loved so deeply? How did she allow herself to submit to this suffocating and destructive passion? For Tony, a difficult process of healing is in front of her, physical work which may finally set her free.",NR,"Drama, Romance",Maïwenn,Les Productions du Trésor,125 minutes,"Vincent Cassel, Emmanuelle Bercot, Louis Garrel"
6,36046,Daawat-e-Ishq,N/A,33%,6,54%,245,"A deliciously romantic coming together of Gulrez ""Gullu"" Qadir (Parineeti Chopra) a Hyderabadi shoe-sales girl disillusioned with love because of her encounters with dowry-seeking men; and Tariq ""Taru"" Haidar (Aditya Roy Kapoor) a Lucknawi cook who can charm anybody with the aroma and flavours of his biryani and kebabs. In the clash of diametrically opposite but equally spicy cultures of Hyderabad and Lucknow, Gullu and Taru arrive at a ""tuning-setting"", rewrite traditional recipes of love, crush old-fashioned world-view and make their own masaledaar albeli rangreli pichchar - Daawat-e-Ishq.(c) Yash RAj",NR,"Drama, Romance",Habib Faisal,Yash Raj Films,118 minutes,"Aditya Roy Kapoor, Parineeti Chopra, Anupam Kher"
7,36047,Five Star,N/A,75%,20,51%,276,"In a blend of fiction and reality, FIVE STAR explores the relationship between two men - Primo, an actual gang leader in the East New York Bloods, and John, a young man trying to decide whether gang life is the path for him. As Primo mentors John in the workings of the gang world, a secret threatens both mens futures. The film is a nuanced portrait of two men struggling with gang life, and an intimate contemplation on manhood in the modern urban environment.",NR,Drama,Keith Miller,Xlrator Media,83 minutes,"James ""Primo"" Grant, John Diaz, Jasmin Burgos"
8,36049,Stonewall,N/A,63%,8,68%,987,"In the late 1960s, a young gay man comes to New York in search of happiness, only to find himself torn between the world of the drag queens and the more conservative gay activists. This fact-based drama culminates with the Stonewall riots, a milestone in the history of gay rights.","R (adult situations/language, nudity, sex, violence)","Art House & International, Documentary, Drama",Nigel Finch,BMG,99 minutes,"Guillermo Díaz, Frederick Weller, Brendan Corbalis"
9,36050,Frankenstein,N/A,100%,10,35%,174,Bernard Rose wrote and directed this modern adaptation of Mary Shelleys Frankenstein with a husband and wife (Danny Huston and Carrie-anne Moss) serving as the creators of a monster cursed with a childs mind.,"R (for bloody violence and gore, language and some sexual content)","Horror, Mystery & Suspense",Bernard Rose,Eclectic Pictures,86 minutes,"Danny Huston, Carrie-Anne Moss, Adam Nagaitis"
