,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
10,26021,The Power Of Few,N/A,50%,8,39%,600,"Religious conspiracy collides with urban crime on a day filled with danger, mystery and possible transformation. (c) Official Site","R (for violence, language and brief drug use)","Drama, Science Fiction & Fantasy",Leone Marucci,Steelyard Pictures,96 minutes,"Christopher Walken, Christian Slater, Anthony Anderson"
11,26028,I Am Ali,N/A,64%,25,59%,642,"Unprecedented access to Muhammad Alis personal archive of ""audio journals"" as well as interviews and testimonials from his inner circle of family and friends are used to tell the legends life story.",PG,"Documentary, Special Interest, Sports & Fitness","Clare Lewins, Clare Lewis",Focus World,111 minutes,"Muhammad Ali, Hana Ali, Maryum Ali"
12,26029,Supermensch: The Legend of Shep Gordon,"Its unabashedly positive tone may strike some viewers as disingenuous, but even if Supermensch doesn't tell the whole story, it's an undeniably entertaining one.",78%,79,84%,1751,"Shep Gordon is the consummate Hollywood insider. Though he isnt a household name, Gordon has become a beacon in the industry, beloved by the countless stars he has encountered throughout his storied career. Shep is known for managing the careers of Alice Cooper as well as stints with Blondie, Luther Vandross and Raquel Welch, among others - a career that began with a chance encounter in 1968 with Janis Joplin and Jimi Hendrix. He even found time to invent the ""Celebrity Chef."" Though the chef as star is part of the culture now, it took Sheps imagination, and his moral outrage at how the chefs were being treated, to monetize the culinary arts into the multi-billion dollar industry it is today. Personal friends with the Dalai Lama through his philanthropic endeavors with the Tibet Fund and the guardian of four children, Gordons unlikely story will be told by those who know him best, his pals, including Alice Cooper, Michael Douglas, Sylvester Stallone, Anne Murray, Willie Nelson, Emeril Lagasse and more. (C) Radius","R (for language, some sexual references, nudity and drug use)","Documentary, Special Interest","Mike Myers, Beth Aala",Radius-TWC,84 minutes,"Shep Gordon, Alice Cooper, Michael Douglas"
13,26031,It Follows,"Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.",96%,253,66%,44863,"After a strange sexual encounter, a teenager finds herself haunted by nightmarish visions and the inescapable sense that something is after her. (C) Radius-TWC","R (for disturbing violent and sexual content including graphic nudity, and language)",Horror,David Robert Mitchell,Radius-TWC,94 minutes,"Maika Monroe, Keir Gilchrist, Daniel Zovatto"
14,26033,The Anomaly,N/A,0%,17,24%,1366,"Traumatized ex-soldier Reeve (Clarke) wakes up in the back of a moving van alongside a young boy (Parkinson) held prisoner. But after helping the boy escape, he comes to the terrifying conclusion that hes the kidnapper. Even more startling, five years have passed since he was last awake. Ryan soon learns that hes caught up in a futuristic conspiracy known as ""Anomaly,"" Ryans only connection with reality is the dogged pursuit of Ryan by the elegant but sinister Harkin Langham (Somerhalder), who -when hes not trying to kill Ryan - explains how to survive his blackouts, lasting exactly 9 minutes and 47 seconds. -- (C) Anchor Bay",NR,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Noel Clarke,Anchor Bay Films/Freestyle,97 minutes,"Ian Somerhalder, Alexis Knapp, Art Parkinson"
15,26035,A Life in Dirty Movies,N/A,100%,12,51%,156,"A Life in Dirty Movies is a love story about legendary sexploitation director Joe Sarno, ""the Ingmar Bergman of 42nd Street,"" and his loyal wife and collaborator Peggy. The film follows the Sarnos for a year, as 88-year old Joe struggles to get a new film project off the ground - a female-centric softcore film that harkens back to the style of his heyday as a filmmaker in the 1960s. As audiences tag along for the eventful and often hilarious journey between wintery Manhattan and the couples summer retreat in Sweden, the films intimate perspective reveals a filmmaker on the verge of being rediscovered in his golden years. Intercut is a look back to the evolution of softcore films seen as racy in their day into unmistakable hardcore porn that all but put Sarno and his artform out of business. The film chronicles Sarnos significant place in film history as an erotic ""auteur,"" whose ambitions as a filmmaker often surpassed the needs of the genre he helped define. A Life in Dirty Movies is a clever and sincere portrait of a unique couple who follow their passion in life - onscreen and off. (c) Film Movement",NR,"Documentary, Special Interest",Wiktor Ericsson,Film Movement,80 minutes,"Joe Sarno, Peggy Sarno, Joseph W. Sarno"
16,26037,Touchback,N/A,38%,13,63%,5339,"Former high school football star turned farmer and family man, Scott Murphy (Brian Presley) finds himself with a unique opportunity to revisit his glory days during the Ohio State championship game where he permanently injured his knee in a game-winning play. Given a second shot at his destiny, Scott seeks counsel from Coach Hand (Kurt Russell), Scotts longtime mentor on and off the field, to help him decide whether to let his fate unfold, or follow a path that will change his future. -- (C) Official Site",PG-13 (for some mature thematic elements),"Drama, Science Fiction & Fantasy, Sports & Fitness",Don Handfield,Anchor Bay Entertainment,118 minutes,"Brian Presley, Melanie Lynskey, Marc Blucas"
17,26041,Thunderstruck,N/A,57%,7,73%,1603,"Thunderstruck begins with the death of a boy who shared with his closest friends an affinity for the music of the rock band AC/DC. The survivors pledge to pay tribute to their fallen friend by burying him next to the late lead singer of the band Bon Scott. Over a decade later the survivors reunite to follow through on their commitment, but soon learn that the intervening years have affected them and their relationships. ~ Perry Seibert, Rovi",NR,"Comedy, Drama",Darren Ashton,Anchor Bay Entertainment,98 minutes,"Damon Gameau, Stephen Curry, Ryan Johnson"
18,26042,The Town That Dreaded Sundown,N/A,68%,28,40%,3420,"65 years after a masked serial killer terrorized the small town of Texarkana, the so-called moonlight murders begin again. Is it a copycat or something even more sinister? A lonely high school girl, with dark secrets of her own, may be the key to catching him.","R (for brutal violence, grisly images, strong sexual content, and language)","Horror, Mystery & Suspense",Alfonso Gomez-Rejon,MGM,90 minutes,"Denis O'Hare, Addison Timlin, Veronica Cartwright"
19,26043,White Elephant,N/A,95%,19,56%,661,"In Villa Virgen, the poverty-stricken and dangerous slum in Buenos Aires, two deeply respected Catholic priests take very different paths in their struggle against violence, corruption and injustice.",NR,"Documentary, Drama, Special Interest",Pablo Trapero,Strand Releasing,100 minutes,"Ricardo Darín, Jérémie Renier, Martina Gusman"
