,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,13000,Body of Lies,Body of Lies relies on the performances of Russell Crowe and Leonardo DiCaprio to elevate it beyond the conventional espionage thriller.,55%,211,62%,129971,"Fresh off of their success with director Martin Scorseses The Departed, star Leonardo DiCaprio and screenwriter William Monahan team with director Ridley Scott for this screen adaptation of David Ignatius novel Body of Lies. When CIA operative Roger Ferris (DiCaprio) uncovers evidence indicating that a major terrorist leader may be operating out of Jordan, he enlists the aid of CIA veteran Ed Hoffman (Russell Crowe) in infiltrating the elusive saboteurs vast underground network. During the course of his dangerous mission, Ferris gradually comes to question how much he can trust his presumed allies -- who include not just Hoffman, but the outwardly helpful head of Jordanian intelligence as well. ~ Jason Buchanan, Rovi","R (for strong violence including some torture, and for language throughout)","Drama, Mystery & Suspense",Ridley Scott,Warner Bros. Pictures,128 minutes,"Leonardo DiCaprio, Russell Crowe, Mark Strong (II)"
1,13001,City of Ember,"City of Ember is visually arresting, and boasts a superb cast, but is sadly lacking in both action and adventure.",53%,126,46%,64171,"For generations, the people of the City of Ember have flourished in an amazing world of glittering lights. But Embers once powerful generator is failing... and the great lamps that illuminate the city are starting to flicker. Now, two teenagers in a race against time, must search Ember for clues that will unlock the ancient mystery of the citys existence, and help the citizens escape before the lights go out forever.",PG (for mild peril and some thematic elements),"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gil Kenan,Fox Walden,95 minutes,"Saoirse Ronan, Harry Treadaway, Tim Robbins"
2,13002,Magicians,N/A,33%,9,39%,6675,Two magicians continue to feud since their double act ended in disaster.,NR,Comedy,Andrew O'Connor,Universal Pictures,90 minutes,"David Mitchell, Sarah Hadland, Robert Webb"
3,13006,Max Payne,"While it boasts some stylish action, Max Payne suffers severely from an illogical plot and overdirection.",16%,134,30%,230517,"Max Payne is a maverick cop - a mythic anti-hero - determined to track down those responsible for the brutal murders of his family and partner. Hell-bent on revenge, his obsessive investigation takes him on a nightmare journey into a dark underworld. As the mystery deepens, Max is forced to battle enemies beyond the natural world and face an unthinkable betrayal.","PG-13 (for violence including intense shooting sequences, drug content, some sexuality and brief strong language)","Action & Adventure, Drama, Mystery & Suspense",John Moore (V),20th Century Fox,100 minutes,"Mark Wahlberg, Mila Kunis, Beau Bridges"
4,13009,W.,"A surprisingly sympathetic portrayal of the 43rd American president, W. is fascinating in spots, but merely rudimentary as a whole.",58%,221,42%,109576,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. In an unprecedented undertaking, acclaimed director Oliver Stone is bringing the life of our 43rd President to the big screen as only he can. W takes viewers through Bushs eventful life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bushs decision to invade Iraq.","PG-13 (for language including sexual references, some alcohol abuse, smoking and brief disturbing war images)",Drama,Oliver Stone,Lionsgate,129 minutes,"Josh Brolin, Elizabeth Banks, Ellen Burstyn"
5,13013,"Synecdoche, New York","Charlie Kaufman's ambitious directorial debut occasionally strains to connect, but ultimately provides fascinating insight into a writer's mind.",68%,187,71%,57142,"Theater director Caden Cotard is mounting a new play. His life catering to suburban blue-hairs at the local regional theater in Schenectady, N.Y., is looking bleak. His wife Adele has left him to pursue her painting in Berlin, taking their young daughter Olive with her. His therapist, Madeleine Gravis, is better at plugging her best-seller than she is at counseling him. A new relationship with the alluringly candid Hazel has prematurely run aground. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. Worried about the transience of his life, he leaves his home behind. He gathers an ensemble cast into a warehouse in New York City, hoping to create a work of brutal honesty. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a growing mockup of the city outside. The years rapidly fold into each other, and Caden buries himself deeper into his masterpiece, but the textured tangle of real and theatrical relationships blurs the line between the world of the play and that of Cadens own deteriorating reality.",R (for language and some sexual content/nudity),Drama,Charlie Kaufman,Sydney Kimmel Entertainment,124 minutes,"Philip Seymour Hoffman, Catherine Keener, Tom Noonan"
6,13017,Flash of Genius,"The touching underdog story of a single guy against a massive corporation, Flash of Genius is a well-paced and well-written tale with a standout performance by star Greg Kinnear.",60%,106,55%,6023,"The Kearns were a typical 1960s Detroit family, trying to live their version of the American Dream. Local university professor Bob married teacher Phyllis and, by their mid-30s, had six kids who brought them a hectic but satisfying Midwestern existence. When Bob invents a device that would eventually be used by every car in the world, the Kearns think they have struck gold. But their aspirations are dashed after the auto giants who embraced Bobs creation unceremoniously shunned the man who invented it. Ignored, threatened and then buried in years of litigation, Bob is haunted by what was done to his family and their future. He becomes a man obsessed with justice and the conviction that his lifes work--or for that matter, anyones work--be acknowledged by those who stood to benefit. And while paying the toll for refusing to compromise his dignity, this everyday David will try the unthinkable: to bring Goliath to his knees.",PG-13 (for brief strong language),Drama,Marc Abraham,Universal Pictures,120 minutes,"Greg Kinnear, Lauren Graham, Dermot Mulroney"
7,13018,An American Carol,"An American Carol suffers not so much from its perceived political bias, but from the fact that it simply is not very funny.",13%,48,47%,15766,"Ebenezer Scrooge gets the parody treatment from veteran writer/director David Zucker (Airplane!, Scary Movie 4) with this comedy starring Kevin Farley as a derisive documentarian (à la Michael Moore) whos visited by three ghosts intent on instilling the American spirit in the disillusioned filmmaker. Kelsey Grammer, Jon Voight, Leslie Nielsen, James Woods, and Dennis Hopper co-star in the Vivendi Entertainment production.","PG-13 (for rude and irreverent content, and for language and brief drug material)",Comedy,David Zucker,Vivendi Entertainment,94 minutes,"Kevin P. Farley, Kelsey Grammer, Leslie Nielsen"
8,13022,Tokyo-Ga,N/A,60%,5,78%,770,"In this intriguing documentary, award-winning German director and producer Wim Wenders combines clips from one of his favorite directors, Ozu Yasujiro (see the tribute to Ozu, Ikite wa Mita Keredo.. by Inoue Kazuo), with actual scenes from the sprawling, crowded megalopolis of Tokyo to discover where the real world and cinematic license may intersect, if at all. Ozus films captured the poignant and fleeting aspects of worldly existence -- as in colorful autumn leaves that cannot last long. Wenders almost emulates his technique when he decides, in this 92-minute look at Tokyo -- to spend time on fragments of city life that are telling, eloquent statements of a Japanese ethic. Golfers on city rooftops, the neon lights of the famous Ginza shopping area, baseball games in a cemetery, the omnipresent televisions (even in taxis), and the waxed-over food that stands for months and years in restaurant windows to advertise the menu are all surreal and eloquent scenes. Juxtaposed against the noise and bustling crowds in a city in which people live elbow-to-elbow -- and contrasted with viewpoints on Ozu offered by two former associates -- these scenes and their counterpoints present a well-rounded view of Tokyo, Ozu, and what it means to be Wim Wenders filming in Japan.",NR,"Art House & International, Documentary, Drama, Special Interest",Wim Wenders,Chris Sievernich Filmproduktion,92 minutes,"Yuharu Atsuta, Chishu Ryu, Chisu Ryu"
9,13025,"Angus, Thongs and Perfect Snogging","Based on two of British writer Louise Rennison's popular books, Angus, Thongs and Perfect Snogging is a pleasant and funny tween comedy, comfortable for UK audiences as well as stateside crowds.",72%,25,71%,14376,"Bend It Like Beckham director Gurinder Chadha continues to explore the world of precocious adolescent girls with this tale of a quirky teen whose mind perpetually drifts back to thoughts of growing up, procuring the perfect boyfriend, and throwing the biggest birthday bash ever. While maintaining the perfect social life or getting that nose job she so desperately wants were once her highest priorities in life, the girl who wanted it all gradually discovers that family and friends are more important than any popularity contest.","PG-13 (for suggestive content involving young teens, and language)","Comedy, Drama, Kids & Family",Gurinder Chadha,Nickelodeon Movies,100 minutes,"Georgia Groome, Alan Davies, Karen Taylor"
