,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,10000,The Year of the Yao,"This sports bio documentary is given a few fresh angles, including culture clash issues, and the friendship that develops between Yao and his interpreter.",67%,33,69%,1288,"While the traditional American stereotype of people from China portrays them as short, studious, and not especially athletic, Yao Ming turned that image on his head -- standing seven foot six, Yao became the most talked about player in professional basketball when he signed to play with the Houston Rockets in 2002, the first Chinese émigré to play in the NBA. Yao was largely unknown when he first suited up with the Rockets, and many were skeptical about his abilities, especially when he displayed an unsure command of the American style of basketball in his early games. But Yao soldiered on, and by the end of the season he was proving his detractors wrong, among them player-turned-sportscaster Charles Barkley, who once on air promised to kiss the rear end of one of his fellow television commentators if Yao ever scored 19 points in a game -- and had to make good on the pledge when Yao managed the feat. The Year of the Yao is a documentary (produced in part by the NBA) which looks at Yao Mings first season with the Rockets, how he adapted to American basketball, his relationship with his family and teammates, and what his success means to fans in the United States and China.",PG (adult situations/language),"Documentary, Special Interest, Sports & Fitness","Adam Del Deo, James D. Stern",Fine Line Features,88 minutes,"Yao Ming, Charles Barkley, Michael Irvin"
1,10001,House of D,A sincere but inept coming of age story.,10%,102,73%,9693,"Actor David Duchovny made his debut as a director and screenwriter with this coming-of-age drama, in which a grown man looks back at his adolescence. Its 1973, and Tommy (Anton Yelchin) is a 13-year-old boy living in New Yorks Greenwich Village with his mother (Téa Leoni), who is still coming to terms with the death of her husband. Tommys best friend is Pappass (Robin Williams), a mentally challenged man who is in his thirties, but is at the same emotional age as Tommy; Pappass delivers meat for a local butcher, and Tommy helps him out. Tommy has discovered women, and has a crush on Melissa (Zelda Williams), a cute girl in his class, but Pappass isnt much interested in the opposite sex, and can offer little advice on the subject. Tommys lone confidante on this issue is Lady Bernadette (Erykah Badu), a woman locked up in the nearby Womens House of Detention who offers advice shouted from her window. When Pappass begins to realize that Tommy is falling for Melissa, hes convinced hes losing his best friend, and in a moment of anger he steals a bicycle. Tommy tries to protect Pappas by claiming he was the thief, leading to a series of serious repercussions. Years later, Tommy (now played by Duchovny) is a grown man who leaves his home in Paris, France, to pay a visit to the old neighborhood and come to terms with the life he left behind.",PG-13 (adult situations/language),Drama,David Duchovny,Lions Gate Films,97 minutes,"Anton Yelchin, Téa Leoni, David Duchovny"
2,10002,Palindromes,Unique but cold.,43%,120,69%,8914,"Thirteen-year-old Aviva Victor wants to be a mom. She does all she can to make this happen and comes very close to succeeding, but in the end her sensible parents thwart her plan. So she runs away, still determined to get pregnant one way or another, but instead finds herself lost in another world, a less sensible one, perhaps, but one pregnant itself with all sorts of strange possibility. She takes a road trip from the suburbs of New Jersey, through Ohio to the plains of Kansas and back. Like so many trips, this one is round-trip, and its hard to say in the end if she can ever be quite the same again, or if she can ever be anything but the same again.",NR (not rated),"Comedy, Drama, Special Interest",Todd Solondz,Wellspring,100 minutes,"Ellen Barkin, Jennifer Jason Leigh, Emani Sledge"
3,10003,Down and Derby,"Dull, predictable family fare.",22%,27,51%,808,"A handful of men begin behaving like children when their kids enter a Boy Scout competition in this family-friendly comedy. Ever since he was in fifth grade, Phil Davis (Greg Germann) has been coming in second place to Ace Montana (Marc Raymond) whenever theyve been in some sort of competition together, and now that Phil and Ace are both middle-aged fathers, history seems to repeat itself when Brady (Adam Hicks), Phils son, loses the city junior basketball championship to a team featuring Aces boy. When Phil learns that Brady will be going up against Aces son again in his Boy Scout troops annual Pinewood Derby race, Phil decides it time to end the Davis familys losing ways once and for all, and with help from his childhood friends Blaine (Ross Brockley) and Jimmy (Perry Anzilotti), Phil sets out to build the perfect Pinewood derby car -- whether or not thats what Brady has in mind. Produced with the cooperation of the Boy Scouts of America, Down and Derby also stars Lauren Holly, Pat Morita, and Hunter Tylo.",PG (for some crude humor and brief mild language),"Comedy, Kids & Family",Eric Hendershot,Freestyle Releasing,90 minutes,"Greg Germann, Lauren Holly, Noriyuki 'Pat' Morita"
4,10004,A Wake In Providence (Almost Married),N/A,70%,10,25%,75,"Anthony Gelati comes from an eccentric Rhode Island family which he thought he had left behind by moving to the west coast. But when his grandfather unexpectedly dies, Anthony must make the trip home to pay his respect. When his African-American girlfriend Alissa insists on coming with him to meet his Italian-American family - all hell breaks loose. This impromptu family gathering of FBI (full blooded Italians) triggers a number of confrontations, some surprising confessions and a hilarious race to the altar (C) Indican",R (for language and some sexual content),"Comedy, Special Interest",Rosario Roveto Jr.,Indican Pictures,94 minutes,"Vincent Pagano, Victoria Rowell, Mike Pagano"
5,10006,King's Ransom,"Filled with crass dialogue, unlikable characters, and overdone slapstick gags, King's Ransom is an utterly inept would-be comedy.",2%,50,32%,6268,"A multi-millionaire plans a scam that goes wrong in a great many ways in this comedy. Malcolm King (Anthony Anderson) is a wildly successful businessman who has gotten used to having things his own way. When King decides to divorce his wife, shes none too thrilled at the prospect and makes it clear she will make him pay a huge settlement in exchange for his freedom. King isnt keen on this idea, so he and his mistress hatch a scheme by which one of her friends (Jay Mohr) will ""kidnap"" King and demand a large portion of his fortune for his return, which will be kicked back to the businessman later. But King seriously underestimates the ineptitude of his would-be kidnapper -- no to mention how many other people want a piece of his fortune. Kings Ransom also stars Regina Hall, Leila Arcieri, Charlie Murphy, and Donald Faison. ~ Mark Deming, Rovi",PG-13 (for crude and sexual humor and language),Comedy,Jeff Byrd,WARNER BROTHERS PICTURES,98 minutes,"Anthony Anderson, Kellitta Smith, Jay Mohr"
6,10008,Madison,A pedictable and heavy-handed sports drama.,28%,32,49%,1455,"Based upon a true story, Madison is a father-son drama based on the highly publicized efforts in Madison, IN, during the hydroplane racing season of 1971. Jim McCormick (James Caviezel) has left behind his life of hydroplane boat racing to settle down and start a family and take a job as an air-conditioner repairman. Though he tries to embrace his new life, he still longs for his racing days, and the boat has become the town laughing stock. The town has also experienced harsh financial strain and the rich corporate sponsors of Jims competitors have stolen the spotlight again and again. The town of Madison is suddenly asked to host the prestigious Gold Cup championship, and Jim cannot resist, though the town is far less supportive. Jim rallies the community for support in an attempt to bring the pride back to it, though his wife, Bonnie (Mary McCormack), is eager to move to the big city and out of the doldrums of Madison, and his son, Mike (Jake Lloyd), has become disillusioned with the idea of the boat races and watching the larger contenders win every time. But Jim stubbornly presses on and soon is permitted to play again with the big boys. The film also features veteran actors Bruce Dern, Brent Briscoe, and Paul Dooley.",PG (for some mild language and sports peril),"Drama, Sports & Fitness",William Bindley,MGM,99 minutes,"Jim Caviezel, Bruce Dern, Mary McCormack"
7,10011,Death of a Dynasty,N/A,47%,15,38%,153,"Hip-hop mogul Damon Dash (Paper Soldiers) directs this semi-autobiographical film based on his life as the proprietor of Roc-a-Fella Records. Ebon Moss-Bachrach stars as David Katz, a reporter who, upon interviewing rap producer Damon (Capone), finds himself drawn deeper and deeper into the high-class world of hip-hop. Before he knows it, Katz ignites a war within the label that could bring down the operation for good. A bevy of celebrities from all walks of life make appearances, including Riddick Bowe, Lorraine Bracco, Mariah Carey, Sean ""P. Diddy"" Combs, Carson Daly, Jay-Z, Chloe Sevigny, James Toback, and countless others.","R (for pervasive language, some drug and sexual content.)",Comedy,Damon Dash,TLA Releasing,93 minutes,"Ebon Moss-Bachrach, Capone, Loon"
8,10012,Kingdom of Heaven,"Although it's an objective and handsomely presented take on the Crusades, Kingdom of Heaven lacks depth.",39%,189,72%,365390,"Kingdom of Heaven is an epic adventure about a common man who finds himself thrust into a decades-long war. A stranger in a strange land, he serves a doomed king, falls in love with an exotic and forbidden queen, and rises to knighthood. Ultimately, he must protect the people of Jerusalem from overwhelming forces - while striving to keep a fragile peace.",R (for strong violence and epic warfare),"Action & Adventure, Classics, Drama",Ridley Scott,20th Century Fox,145 minutes,"Orlando Bloom, Liam Neeson, Eva Green"
9,10013,House of Wax,"Bearing little resemblance to the 1953 original, House of Wax is a formulaic but better-than-average teen slasher flick.",26%,157,42%,404533,"A road trip to the biggest college football championship of the year takes a turn for the worse for Carly, Paige and their friends decide to camp out for the night before heading to the game. A confrontation with a mysterious trucker at the camp site leaves everyone unsettled, and Carly has her hands full trying to keep the peace between her boyfriend Wade and her hot-headed brother Nick. They wake up the next morning to find that their car has been deliberately tampered with, leaving them with no transportation. At the risk of being stranded, they accept a locals invitation for a ride into Ambrose, the only town for miles. Once there, they are drawn to Ambroses main attraction -- Trudys House of Wax, which is filled with remarkably life-like wax sculptures. But, as they soon discover, there is a shocking reason that the exhibits look so real. As the friends uncover the towns dark secrets, they are stalked by a demented killer and find themselves in a bloody battle for survival. The group must find a way out of Ambrose -- or become permanent additions to the House of Wax.","R (for horror violence, some sexual content and language)","Horror, Mystery & Suspense",Jaume Collet-Serra,Warner Bros. Pictures,113 minutes,"Elisha Cuthbert, Chad Michael Murray, Brian Van Holt"
