,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,33000,Our Brand Is Crisis,"Riveting and enraging, Our Brand Is Crisis peers behind the curtain of modern political campaigning and reveals a story that should be seen by citizens of all persuasions.",92%,39,75%,4878,"An adventure following James Carville and a team of U.S. political consultants as they travel to South America to help Gonzalo Sanchez de Lozada (a.k.a. Goni) become president of Bolivia. Goni, is seen by his American strategists as a progressive idealist trying to liberalize business practices and strengthen democracy. However, to many Bolivians, he is a Clintonesque neo-liberal allied too closely with the U.S. With little chance of re-election. Starting with a country in upheaval, we see bloody riots break out in the streets of La Paz, with people throwing stones at the presidential palace as they call for the governments downfall. Flashing back a year, we begin to see the events that led to the bloody tragedy. Goni is on the campaign trail, promising to solve Bolivias devastating economic crisis if he is elected. Behind the scenes are Jeremy Rosner, Tad Devine, and others from the Greenberg Carville Shrum firm, the American advertising experts hired to sell Goni to the people. With unprecedented access to situations that occur all the time in the United States, but which were never allowed to see, the chronicle follows detailed media coaching with the candidate, secret focus groups, and emergency ad-making sessions that alter the message to fit the moment. Following the journey to its surprising finish, it is a story for our time about Americans trying to spread democracy overseas.",NR,"Art House & International, Documentary, Special Interest",Rachel Boynton,Koch Lorber Films,85 minutes,"Gonzalo Sanchez de Lozada, James Carville, Tad Devine"
1,33002,The Big Sky,N/A,100%,8,66%,758,"The Big Sky is based on a popular novel by A.B. Guthrie. Kirk Douglas and Dewey Martin play a pair of Kentucky frontiersmen who embark upon the first keelboat trip up the Missouri River way back in 1830. Joining Douglas and Martin are Martins grizzled old uncle Arthur Hunnicutt and garrulous Frenchman Steven Geray. Running afoul of various Indian tribes, Douglas nonetheless romances Sioux princess Elizabeth Threatt (their off-screen relationship was on the kinky side, as an embarrassed Douglas reveals in his autobiography). Director Howard Hawks leavens the Boys Own Adventure atmosphere of the film with a few isolated comic sequences, including a sidesplitting scene in which Douglas gangrenous finger is cut off. Produced for RKO Radio by Hawks own Winchester Pictures, The Big Sky was released at 141 minutes, though the TV print runs 122 minutes. ~ Hal Erickson, Rovi",NR,"Action & Adventure, Western",Howard Hawks,Turner Home Entertainment,122 minutes,"Kirk Douglas, Dewey Martin, Elizabeth Threatt"
2,33010,High-Rise,"High-Rise may not quite live up to its classic source material, but it still offers an energetic, well-acted, and thought-provoking take on its timely socioeconomic themes.",60%,215,36%,11997,"HIGH-RISE stars Hiddleston as Dr. Robert Laing, the newest resident of a luxurious apartment in a high-tech concrete skyscraper whose lofty location places him amongst the upper class. Laing quickly settles into high society life and meets the buildings eccentric tenants: Charlotte (Miller), his upstairs neighbor and bohemian single mother; Wilder (Evans), a charismatic documentarian who lives with his pregnant wife Helen (Moss); and Mr. Royal (Irons), the enigmatic architect who designed the building. Life seems like paradise to the solitude-seeking Laing. But as power outages become more frequent and building flaws emerge, particularly on the lower floors, the regimented social strata begins to crumble and the building becomes a battlefield in a literal class war.","R (for violence, disturbing images, strong sexual content/graphic nudity, language and some drug use)","Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Ben Wheatley,Embargo Films,112 minutes,"Tom Hiddleston, Jeremy Irons, Sienna Miller"
3,33011,The Night Before,"The Night Before provokes enough belly laughs to qualify as a worthwhile addition to the list of Christmas comedies worth revisiting, even if it isn't quite as consistent as the classics.",68%,154,61%,31366,"Ethan (Joseph Gordon-Levitt), Isaac (Seth Rogen) and Chris (Anthony Mackie) have been friends since childhood, and for a decade, their yearly Christmas Eve reunion has been an annual night of debauchery and hilarity. Now that theyre entering adulthood, the tradition is coming to an end, and to make it as memorable as possible, they set out to find the Nutcracka Ball - the Holy Grail of Christmas parties.","R (for drug use and language throughout, some strong sexual content and graphic nudity)",Comedy,Jonathan Levine,Sony Films,101 minutes,"Joseph Gordon-Levitt, Seth Rogen, Anthony Mackie"
4,33012,Into The Forest,"Into the Forest grounds its familiar apocalyptic framework with a relatable look at the bond between two sisters, compellingly brought to life by Ellen Page and Evan Rachel Wood.",76%,51,43%,5578,"A worldwide power outage sends the globe toward the brink of apocalypse, forcing two sisters living in their isolated house in the Canadian woods to adapt to their new reality and fight for survival in this stirring end-of-the-world thriller.","R (for a scene of violence involving rape, language and some sexuality/nudity)","Art House & International, Drama, Science Fiction & Fantasy",Patricia Rozema,A24 and DIRECTV,101 minutes,"Ellen Page, Evan Rachel Wood, Max Minghella"
5,33013,Time Out Of Mind,"Time Out of Mind demands patience, yet its noble intentions -- and Richard Gere's committed performance -- are difficult to deny.",80%,88,42%,2225,"Oren Movermans drama Time out of Mind stars Richard Gere as George, a homeless, mentally-ill man who has been unable to hold a job for years. He drifts through the city looking for food, alcohol, and shelter. He also tries to make contact with his estranged daughter (Jena Malone). Eventually George takes advantage of some of the social services provided by the city of New York, but he lacks the proper paperwork to get the financial assistance he needs. He befriends a fellow homeless man (Ben Vereen) who claims to have been a successful jazz musician. Time Out of Mind screened at the 2014 Toronto International Film Festival.",NR,Drama,Oren Moverman,IFC Films,117 minutes,"Richard Gere, Jena Malone, Kyra Sedgwick"
6,33015,The Princess Of France,N/A,69%,16,31%,83,"In this experimental drama, a stage director (Julian Larquier Tallarini) in Buenos Aires re-gathers the cast of his recent production of +Loves Labours Lost to record a radio performance, but all the actresses involved want his intimate attention one way or another.",NR,"Art House & International, Drama",Matías Piñeiro,Cinema Guild,70 minutes,"Agustina Muñoz, Alessio Rigo de Righi, Julián Larquier Tellarini"
7,33022,Everest,"Everest boasts all the dizzying cinematography a person could hope to get out a movie about mountain climbers, even if it's content to tread less challenging narrative terrain.",73%,225,68%,47442,"2 Guns helmer Baltasar Kormakur directs Jake Gyllenhaal, Josh Brolin, Jason Clarke, and John Hawkes in this adventure docudrama set in 1996, when a number of simultaneous expeditions up Mount Everest resulted in the deaths of eight climbers. ~ Jason Buchanan, Rovi",PG-13 (for intense peril and disturbing images),"Action & Adventure, Drama, Mystery & Suspense",Baltasar Kormákur,Universal Pictures,94 minutes,"Jake Gyllenhaal, Jason Clarke, John Hawkes"
8,33028,Cut Snake,N/A,69%,16,44%,183,A pair of ex-cons hatch a scheme to burn down a nightclub in Brisbane.,"R (for violence, sexuality and language)",Mystery & Suspense,Tony Ayres,Monterey Media,94 minutes,"Sullivan Stapleton, Alex Russell, Jessica De Gouw"
9,33041,Spotlight,"Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",97%,362,93%,70090,"SPOTLIGHT tells the riveting true story of the Pulitzer Prize-winning Boston Globe investigation that would rock the city and cause a crisis in one of the worlds oldest and most trusted institutions. When the newspapers tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Bostons religious, legal, and government establishment, touching off a wave of revelations around the world. Directed by Academy Award-nominee Tom McCarthy, SPOTLIGHT is a tense investigative dramatic-thriller, tracing the steps to one of the biggest cover-ups in modern times. (C) Open Road",R (for some language including sexual references),"Drama, Mystery & Suspense",Tom McCarthy,Open Road Films,129 minutes,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
