,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,12860,Nae meorisokui jiwoogae (A Moment to Remember),nothing,nothing,nothing,nothing,nothing,"After their first accidental meeting, Su-jin and Chul Soo start dating each other despite their differences in social standing. Their relationship is filled with many trials that they must overcome.",PG-13,"Art House & International, Drama",John H. Lee,nothing,nothing,"Jung Woo-sung, Son Ye-jin, Jong-hak Baek"
1,12861,Year of the Gun,nothing,29%,7,25%,1678,"In this thriller, American novelist David Raybourne (Andrew McCarthy) accidentally becomes entangled in the Red Brigades terrorist plan to kidnap Italian Premier Aldo Moro during a research trip to Rome. As the terrorists attempt to kill David, he and his photojournalist friend (Sharon Stone) must struggle to stay alive.","R (nudity, violence)","Action & Adventure, Mystery & Suspense",John Frankenheimer,Sony Pictures Home Entertainment,111 minutes,"Andrew McCarthy, Valeria Golino, Sharon Stone"
2,12862,Dans Paris,"Director Christophe Honore updates the pretensions and the charms of the French New Wave for Dans Paris, his poignant yet frustratingly dense film.",60%,53,66%,6642,"French sex symbols Romain Duris and Louis Garrel join screen icons Guy Marchand and Marie-France Pisier in writer-director Christophe Honorés four-character chamber drama Dans Paris (Inside Paris). Duris plays Paul, a young man in his early thirties who splits with his girlfriend. Feeling depressed, he opts to move into a flat with his brother Jonathan (Garrel, who also narrates) and their father (Marchand). The ladykiller Jonathan slyly attempts to talk Paul into a shopping trip to lift his spirits, but ends up venturing out alone and engages in rendezvous with several women. Meanwhile, the boys stylishly-dressed and gorgeous mother (Pisier) turns up and adds one more complexity to the network of relationships in the house. Honoré laces his drama with comedic touches and crafts the film in the gentle mode of early sixties French pictures by Truffaut, Godard and others.",NR,"Art House & International, Drama",Christophe Honoré,IFC First Take,90 minutes,"Romain Duris, Louis Garrel, Guy Marchand"
3,12863,Walker,nothing,40%,10,66%,874,This historically-based satirical film follows the 1855 invasion of Nicaragua by American William Walker (Ed Harris). Walker led a group of revolutionaries to take over the country and proceeded to appoint himself president on behalf of the government of the United States.,"R (adult situations/language, violence)","Action & Adventure, Comedy, Drama",Alex Cox,Universal Pictures,95 minutes,"Ed Harris, Richard Masur, Rene Auberjonois"
4,12864,Absolute Giganten,nothing,nothing,nothing,nothing,nothing,"Produced by Tom Tykwer, the director of Run Lola Run (1998), this German slacker comedy-drama concerns a trio of beer drinking neer-do-wells in the port city of Hamburg. Ricco (Florian Lukas) is a foul-mouthed cook, corpulent Walter aka ""Chubby"" (Antoine Monot Jr.) works in a garage, and Floyd (Frank Giering) dreams of escape from his hand-to-mouth existence. All three have big dreams for the future, but only Floyd decides to act on it. To the utter shock and disbelief of his buddies, he suddenly announces that he is leaving the following day on a tanker bound for Cape Town and Singapore. Absolute Giganten was screened at the 1999 Flanders Film Festival.",NR,"Action & Adventure, Art House & International, Comedy, Drama",Sebastian Schipper,X Filme Creative Pool,77 minutes,"Peter Franke, Jochen Nickel, Albert Kitzl"
5,12865,Peppermint Candy (Bakha satang),nothing,83%,6,82%,1727,"An intense, emotional masterpiece of Korean New Wave, Peppermint Candy is told in reverse, taking the viewers back through 20 years of a doomed mans life, while chronicling the sentiments and changes of modern Korea.",NR,"Art House & International, Drama",Chang-dong Lee,Asian Crush,129 minutes,"Kim Yeo-jin, Sol Kyung-gu, Jung Suh"
6,12866,Pineapple Express,"Both funny and scatter shot, this loose-knit action/buddy/stoner comedy bridges genres and keeps a steady tempo of low ball laughs.",68%,201,73%,302320,"Critically acclaimed director David Gordon Green takes a break from the brooding drama that defined such early efforts as George Washington and Undertow for this action-flavored buddy comedy concerning two pot-smoking friends (Seth Rogen and James Franco) who unwittingly become involved with a vicious gang of drug dealers. Judd Apatow and Shauna Robertson produce a script co-penned by star Rogen and Evan Goldberg. ~ Jason Buchanan, Rovi","R (for pervasive language, drug use, sexual references and violence)",Comedy,David Gordon Green,Sony/Columbia,112 minutes,"Seth Rogen, James Franco, Danny McBride (IV)"
7,12867,Red Cliff (Chi Bi),"Featuring some impressively grand battlefield action, John Woo returns to Asia and returns to form in the process for this lavish and slick historical epic.",91%,116,78%,22576,The first chapter of a two-part story centered on a battle fought in Chinas Three Kingdoms period (220-280 A.D.).,R (for sequences of epic warfare),"Action & Adventure, Art House & International, Classics, Drama",John Woo,Magnolia Pictures,148 minutes,"Tony Leung Chiu Wai, Takeshi Kaneshiro, Fengyi Zhang"
8,12868,The World's Greatest Lover,nothing,17%,12,53%,617,"In this comedy, 1920s movie producer Zitz is searching for the next Rudolph Valentino. When Rudy Valentine sets off to audition for the part, he must compete with scores of other men for the part, while attempting to keep his wife from running off with the real Rudolph Valentino.",PG (adult situations/language),Comedy,Gene Wilder,Twentieth Century Fox Home Entertainment,89 minutes,"Gene Wilder, Carol Kane, Dom DeLuise"
9,12870,Silent Light (Stellet licht),Silent Light demands patience -- and rewards willing viewers with a compassionate and beautifully filmed look at the human condition.,88%,24,69%,5397,"A man of faith succumbs to a temptation he cannot resist in this drama written and directed by Carlos Reygadas. Johan (Cornelio Wall Fehr) and Esther (Miriam Toews) have been married for years, and live with their children in a Mennonite community Mexico. While Johan and Esther are both taciturn by nature, a moral dilemma is tearing Johan apart -- hes been having an affair with another woman in their circle, Marianne (Maria Pankratz), and feels he may be falling in love with her. While the tenants of his faith strictly forbid adultery, his need to be with Marianne seems stronger than the dictates of his moral compass, and while hes confessed his sins to Esther and his close friend Zacarias (Jacobo Klassen), subjecting himself to the shame of truth hasnt buffered his desires. Even worse, after Johan confesses to his father about his lust for Marianne, hes told that he may have fallen under the sway of Satan. Luz Silenciosa (aka Silent Light) received its world premiere at the 2007 Cannes Film Festival.",PG,"Art House & International, Drama",Carlos Reygadas,Bac Films,144 minutes,"Cornelio Wall, Elizabeth Fehr, Jacobo Klassen"
