,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,40000,Las Ovejas No Pierden El Tren,N/A,N/A,N/A,N/A,N/A,,NR,Comedy,Álvaro Fernández Armero,N/A,N/A,"Irene Escolar, Inma Cuesta, Candela Pena"
1,40001,The Big Timer,N/A,N/A,N/A,N/A,N/A,"Ben Lyon plays an aspiring boxer in this pre-code drama. Cookie Bradford (Lyon) toils at a diner and works out at the gym while waiting for his big break. His one supporter is the gym owners daughter, Honey (Constance Cummings). When her father dies suddenly, she decides to take over his business. The fighters, however, have no faith in a woman, and they all walk out on her -- except for Bradford. She begins coaching him and he starts winning fights. But when they marry and head for the big city, male prejudice towards Honey works against them until she manages to place Bradford in a charity fight held by a socialite (Thelma Todd, on loan from the Hal Roach Studios). Bradford then fights his way up to Madison Square Garden, but it all goes to his head. He ignores Honey in favor of the socialite, and dumps her as a manager in favor of Dan Wilson, a man with a big name and big promises. But Bradfords luck runs out and he loses his way to the bottom of the bill. It takes Honeys ingenuity to make him into a contender once again. This was Edward N. Buzzells debut as a feature film director.",NR,"Drama, Sports & Fitness","Edward Buzzell, Edward N. Buzzell",Columbia Pictures,72 minutes,"Ben Lyon, Constance Cummings, Thelma Todd"
2,40002,Truth,N/A,N/A,N/A,N/A,N/A,"A suspenseful, psychological thriller, ""Truth"" exposes the hidden demons buried deep inside each and every one of us. After a chance encounter over the Internet, Caleb (Sean Paul Lockhart, ""Milk"", ""Judas Kiss"", ""Chillerama"") meets and falls head over heels for Jeremy (Rob Moretti, ""Crutch"", ""An Affirmative Act"", ""Snapshot""), and soon the line between love and lies blur. Struggling to keep his past a secret, including his mentally ill mother, Caleb slowly succumbs to his darker side. A sudden turn of events finds Jeremy held captive, until Calebs quest for the truth be revealed. The film also stars Emmy Winner (R) Blanche Baker, (""16 Candles"", ""Raw Deal"", ""Taking Chances""). --(c) Official Site",NR,Mystery & Suspense,Rob Moretti,Sony Pictures Classics,94 minutes,"Sean Paul Lockhart, Rob Moretti, Blanche Baker"
3,40003,Amateur Night,N/A,N/A,N/A,N/A,N/A,Its amateur night at a big-time club and the aspiring wanna-bes scramble on each others shoulders in their vainful attempts at claiming the limelight.,NR,"Comedy, Musical & Performing Arts, Special Interest",Eddie Beverly Jr,N/A,N/A,"Dennis Cole, Geoffrey Deuel, Al Kirk"
4,40004,Rustom,N/A,40%,10,40%,267,"A dashing naval officer, a beautiful wife and a perfect world. This was Naval Commander Rustom Pavris life. Until one day he realizes his perfect life isnt what he thought it was. As events unfold, we realize his wife is having an affair with his best friend.Three fatal shots change their lives. Based on true events, this film is a gripping tale about pride, passion and power, and a man who must his uphold his own integrity and that of the nation.",NR,Tinu Suresh Desai,,N/A,N/A,Akshay Kumar
5,40005,Darkest Day,N/A,N/A,N/A,N/A,N/A,An amnesiac man must survive in a post-apocalyptic city ravaged by a mysterious virus.,NR,Action & Adventure,Dan Rickard,N/A,N/A,"Dan Rickard, Chris Wandell, Christianne van Wijk"
6,40007,Footsteps in the Fog,N/A,N/A,N/A,N/A,N/A,"Footsteps in the Fog is a cat-and-mouse Victorian melodrama in the grand tradition. Jean Simmons plays scheming servant girl Lily Watkins, who was hired by sinister nobleman Stephen Lowry (Stewart Granger) and his ailing wife. The wife dies of ""natural causes,"" but Lily knows better, and uses this knowledge to her advantage. In exchange for her silence, she forces Lowry to cater to her every whim. He is forced to go along lest he face the gallows, but in a switch reminiscent of the ""lost"" ending of 1987s Fatal Attraction, he sees to it that Lily herself is carted away by the constabulary. Filmed in appropriately dank Technicolor, Footsteps in the Fog is an unusual foray into Gaslight territory for director Arthur Lubin, normally a comedy specialist.",NR,"Classics, Drama, Mystery & Suspense",Arthur Lubin,Columbia Pictures,90 minutes,"Stewart Granger, Jean Simmons, Bill Travers"
7,40008,Who Killed Aunt Maggie?,N/A,N/A,N/A,N/A,N/A,"In this comedy-mystery, a private investigator journeys to a spooky old mansion where a series of murders have occurred.",NR,"Classics, Comedy, Mystery & Suspense",Arthur Lubin,Universal,70 minutes,"John Hubbard, Wendy Barrie, Edgar Kennedy"
8,40009,One More Time With Feeling,N/A,100%,24,100%,431,"A unique one night only cinema event directed by Andrew Dominik (Chopper, The Assassination of Jesse James by the Coward Robert Ford, Killing Them Softly), One More Time With Feeling will be the first ever opportunity anyone will have to hear Skeleton Tree, the sixteenth studio album from Nick Cave & the Bad Seeds. The film will screen in cinemas across the world on 8th September 2016, immediately prior to the release of Skeleton Tree the following day. Originally a performance based concept, One More Time With Feeling evolved into something much more significant as Dominik delved into the tragic backdrop of the writing and recording of the album. Interwoven throughout the Bad Seeds filmed performance of the new album are interviews and footage shot by Dominik, accompanied by Caves narration and improvised rumination. Filmed in black-and-white and colour, in both 3D and 2D, the result is fragile, raw and a true testament to an artist trying to find his way through the darkness.",PG,Documentary,Andrew Dominik,Iconoclast Films,112 minutes,"Nick Cave, Nick Cave and The Bad Seeds"
9,40010,Sensuela,N/A,N/A,N/A,N/A,N/A,,NR,"Art House & International, Drama, Romance",Teuvo Tulio,N/A,N/A,"Marianne Merdi, Mauritz Åkerman, Osmo Saario"
10,40011,Milestones,N/A,N/A,N/A,N/A,N/A,"In this insightful film, characters travel across the United States at the end of the 1960s. Two of the characters argue their way across the country, while another two try to establish communication. Also included are looks at Vietnam vets and former radicals as they embark on their disparate journeys.",NR,Drama,"Robert Kramer, John Douglas",N/A,N/A,"Grace Paley, David C. Stone, John Douglas"
