,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,8001,Creeping Flesh,N/A,80%,5,80%,1785,"Peter Cushing delivers one of his finest hand-wringing performances as Emmanuel Hildern, a Victorian man of science who relates a mad tale of horror to his half-brother and professional rival James (Christopher Lee). His tale begins with the discovery of the weird skeletal remains of a large unknown humanoid in Papua, new Guinea, which he carts back to England for study. Even more unusual than the skeletons ghastly appearance is its ability to grow new flesh when moistened with water. Further research reveals that the creature may actually be instilled with the very essence of malevolence (basically freeze-dried, instant evil), indicating that it would be best kept out of the rain. Despite an incongruous subplot involving the doctors insane daughter, whom he believes can be cured by injections of serum derived from the creatures reanimated tissue, this is an effectively creepy period piece with heady Gothic atmosphere (and a neat twist ending) that ranks among director Freddie Franciss finest work. ~ Cavett Binion, Rovi",PG,"Classics, Horror, Mystery & Suspense",Freddie Francis,Columbia Pictures,91 minutes,"Peter Cushing, Catherine Finn, Michael Ripper"
1,8002,Swann in Love,N/A,N/A,N/A,N/A,N/A,"This ambitious attempt to film a portion of Marcel Prousts epic novel Remembrance of Things Past stars Jeremy Irons as Charles Swann, a Jewish intellectual who has managed to overcome growing anti-Semitism in 19th century France and travels in an elite social circle. But Swann has become obsessed with Odette (Ornella Muti), a courtesan who cares more for money than Swanns passion for her. In time they marry, but Swann soon realizes his desire for her is based purely on physical lust for someone with whom he has no rapport, or even much affection, and the relationship begins to erode the social acceptance Swann struggled to achieve. Meanwhile, the Baron de Charlus (Alain Delon) finds himself similarly attracted to a young man who does not share his desires. Un Amour de Swann was much praised for its production design and the cinematography of frequent Ingmar Bergman collaborator Sven Nykvist, though many felt director Volker Schlondorff failed to capture the narrative depth and complexity of Prousts novel. ~ Mark Deming, Rovi",R (adult situations/language),"Art House & International, Comedy, Drama",Volker Schlöndorff,Media Home Entertainment,110 minutes,"Jeremy Irons, Ornella Muti, Alain Delon"
2,8003,To End All Wars,N/A,62%,13,62%,8125,"A World War II, prisoner-of-war drama about a group of American POWs. Led by Lieutenant Colonel Stuart McLean, the officers--Major Ian Campbell, Captain Ernest Gorgon and Lieutenant Tom Rigden--endure harsh treatment at the hands of their Japanese captors, while building a railway through the Burmese jungle.",R (for war violence and for some language),Drama,David L. Cunningham,Argyll Film Partners,126 minutes,"Robert Carlyle, Kiefer Sutherland, Ciaran McMenamin"
3,8004,Moulin Rouge,N/A,N/A,N/A,N/A,N/A,An unexpected Parisian love triangle results when the star performer of the Moulin Rouge becomes involved with her daughters youthful lover. This handsome British-American co-production displays the ample story-telling skills of German director E.A. DuPont (Variety (1925)).,NR,Drama,Ewald André Dupont,British International Pictures,90 minutes,"Olga Tschechowa, Eve Gray, Jean Bradin"
4,8005,The Belly of an Architect,N/A,91%,11,91%,3771,"American architect Stourley Kracklite (Brian Dennehy) comes with his young wife Louisa (Chloe Webb) to Rome to supervise an exhibition devoted to Etienne-Louis Boullée, a French architect of the 18th century. Suffering from severe abdominal pains, Stourley doesnt pay much attention to his pregnant wife, and she finds consolation in the arms of suave Caspasian Speckler (Lambert Wilson). Built from rigidly symmetrical images, the film has quite an unusual subject: the belly -- both the sick one of the architect and the pregnant one of his wife, the rounded forms alluding to the spherical constructions designed by Boullée, the architect whose visionary projects seldom materialized. Beautifully shot on location in Rome, this ironic fable wittily examines the issues of artistic creativity.",R,"Comedy, Drama, Special Interest",Peter Greenaway,Hemdale,119 minutes,"Brian Dennehy, Chloe Webb, Lambert Wilson"
5,8007,Love Happy,N/A,N/A,N/A,N/A,N/A,"In this, the final Marx Brothers comedy, Groucho stars as a detective hired to track down some missing diamonds which are actually in Harpos possession.",NR,"Classics, Comedy, Musical & Performing Arts",David Miller,United Artists,85 minutes,"Vera-Ellen, The Marx Brothers, Ilona Massey"
6,8008,High School Confidential,N/A,70%,10,70%,1900,"Complete with a performance by Jerry Lee Lewis over its opening credits, Jack Arnolds High School Confidential stars Russ Tamblyn as Tony, a troubled street kid sent to live with his hot-to-trot aunt (Mamie Van Doren). After enrolling in school, he quickly becomes wrapped up in the local drug scene, culminating in a surprise ending. Also titled Young Hellions.",NR,"Classics, Drama, Mystery & Suspense",Jack Arnold,MGM,85 minutes,"Russ Tamblyn, Jan Sterling, John Drew Barrymore"
7,8009,Out of Blue,"Out of Blue smolders without ever really sparking to life -- which, considering the source material and talent assembled, can only be considered a disappointment.",37%,63,37%,30,"The hunt for a killer draws a detective into an even larger mystery: the nature of the universe itself. Mike Hoolihan (Patricia Clarkson) is an unconventional New Orleans cop investigating the murder of renowned astrophysicist Jennifer Rockwell (Mamie Gummer), a black hole expert found shot to death in her observatory. As Mike tumbles down the rabbit hole of the disturbing, labyrinthine case, she finds herself grappling with increasingly existential questions of quantum mechanics, parallel universes, and exploding stars--cosmic secrets that may hold the key to unraveling the crime, while throwing into doubt her very understanding of reality. Awash in dreamlike, neo-noir atmosphere, this one-of-a-kind thriller is both a tantalizing whodunnit and a rich, metaphysical mind-bender.",NR,"Drama, Mystery & Suspense",Carol Morley,IFC Films,109 minutes,"Patricia Clarkson, Toby Jones, Jacki Weaver"
8,8010,Crimetime,N/A,N/A,N/A,N/A,N/A,"Set in the future when the media has become omnipotent, this crime thriller begins as actor Bobby is hired to play a serial killer. When Bobbie becomes a star, it delights the real killer and inspires him to commit even more lurid, headline-grabbing crimes.","R (adult situations/language, nudity, violence)","Drama, Mystery & Suspense, Television",George Sluizer,Trimark,118 minutes,"Stephen Baldwin, Pete Postlethwaite, Sadie Frost"
9,8011,A Woman Is a Woman (Une femme est une femme),"One of the last times Godard could make film paradoxes with glee, A Woman Is a Woman is a mocking, genuine tribute to musicals.",85%,33,85%,8792,"Director Jean-Luc Godards deceptively blithe tribute to the musical comedy features Anna Karina as an exotic dancer who decides that it is time for her to have a child. When her lover refuses to commit to the decision, she turns her romantic attentions to his best friend. This being a Godard film, the straightforward story serves as a framework for improvisation and stylistic experimentation, allowing for odd interludes and unexpected images. Rather than the sometimes alienating, dense intellectualism of later Godard works, Une femme est une femme offers aesthetic pleasure through luxurious visuals and a charming musical score by Michel Legrand. Against this bright backdrop, Karina proves particularly fetching, capturing the films frolicsome mood in an unforced manner. While not one of Godards most groundbreaking or influential films, Une femme est une femme is one of his most appealing and pleasurable efforts. ~ Judd Blaise, Rovi",NR,"Art House & International, Classics, Comedy, Musical & Performing Arts",Jean-Luc Godard,Rialto Pictures,90 minutes,"Anna Karina, Jean-Paul Belmondo, Jean-Claude Brialy"
