,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,16000,Borderland,N/A,N/A,N/A,N/A,N/A,"An above-average ""Hopalong Cassidy"" series entry, Borderland has Hoppy (William Boyd) going undercover as a bandit in a tough Mexican border town in order to trap a notorious bandit known only as The Fox. Not even sidekicks Johnny Nelson (James Ellison) and Windy (George ""Gabby"" Hayes) are in on the scheme, concocted jointly by Mexican Army Colonel Gonzales (Trevor Bardette) and Texas Ranger Major Stafford (Earle Hodgins). Lodging with widowed Grace Rand (Nora Lane) and her small daughter, Molly (Charlene Wyatt), both of whom he abuses in order to protect his cover, Hoppy learns that The Fox (Stephen Morris aka Morris Ankrum) is himself performing a bit of masquerade, in this case as a halfwit known as Loco. Windy, however, innocently spills the beans and is promptly kidnapped along with Molly. Chased by Hoppy, who is himself tailed by the villains henchmen, Gonzales troops, and a wounded Johnny Nelson, The Fox (alias Loco) escapes to his secret hideaway, a cabin stocked with dynamite. There, Hoppy catches up with him and in an exciting finale keeps the master villain at bay until help arrives. ~ Hans J. Wollstein, Rovi",NR,Western,"Nate Wyatt, Nate Watt",Paramount Pictures,85 minutes,"William Boyd, James Ellison, Jimmy Ellison"
1,16002,Deadline,N/A,N/A,N/A,N/A,N/A,,NR,Action & Adventure,Richard Stroud,N/A,N/A,"John Hurt, Roshan Seth, Imogen Stubbs"
2,16004,A Day in the Life,N/A,N/A,N/A,N/A,N/A,"Onyx rapper Sticky Fingaz directs and stars in this hip-hop musical about a gangster who becomes caught up in a bloody war between two feuding crime families while struggling to leave the streets behind. When Blacks family raids one of Sticks drug houses and kills two of his men, Stick is forced to choose between leaving it all behind or seeking revenge and feeding the cycle of violence. Its a difficult decision thats made even more arduous when Sticks girlfriend reveals that shes pregnant. Word on the street is that Black has just put out a contract on Stick, and now a pair of detectives is hot on his trail. Desperate, Stick decides to flee the country with his girlfriend and start over. Just as theyre about to board their flight, a gunfight erupts at the airport and all hell breaks loose.",R,"Action & Adventure, Drama","Kirk ""Sticky Fingaz"" Jones",LionsGate Entertainment,90 minutes,"Kirk ""Sticky Fingaz"" Jones, Omar Epps, Mekhi Phifer"
3,16005,The Hunt,N/A,N/A,N/A,N/A,N/A,"Bow hunting enthusiast Jack Hamberg, his eight-year-old stepson Clint and former news cameraman Atticus Monroe are on a mission to make a deer hunting video. All that is needed to complete the video is a ""kill."" Jack and Atticus reluctantly decide to trespass onto a nearby property where there may be more abundant prey. Once inside the restricted area, they come upon some frightening realizations. The hunters have become the hunted. Only one comes out alive with the tapes that captured the horrific events that transpired on ""The Hunt."" (c) Official Site",R (for language and some violent content),"Action & Adventure, Horror, Mystery & Suspense",Fritz Kiersch,Image Entertainment,90 minutes,"Cliff De Young, Robert Rusler, Joe Michael Burke"
4,16008,Vivere,N/A,44%,16,44%,351,"Francesca and her younger sister, Antonietta, are as different as day and night. By day, Francesca holds the household together and at night she earns a living operating a taxi. Antonietta, however, is a rebellious teenager and desperately wants to get away from the gray confinement of their Cologne suburb. Together with her musician boyfriend, she runs away to Rotterdam, followed by a concerned Francesca who goes in search of her.","R (for some sexual content, language and brief drug use)","Art House & International, Drama",Angelina Maccarone,Regent Releasing,97 minutes,"Hannelore Elsner, Esther Zimmering, Kim Schnitzer"
5,16009,Provocateur,N/A,N/A,N/A,N/A,N/A,,R,"Action & Adventure, Drama",Jim Donovan,N/A,N/A,"Jane March, Nick Mancuso, Cary-Hiroyuki Tagawa"
6,16010,The Olsen Gang (Olsen-banden),N/A,N/A,N/A,N/A,N/A,"The plot involves the Olsen Gang as they plan to become millionaires. The movie starts by Egon being arrested for trying to rob a store, while the others run away. After Egon is set free, the gang plan on stealing a golden statue which is worth 12 million. After some planning, the gang sets the plan in action and steal the golden statue. On their way to the airport, their car runs out of gas and the police come take the car (with the statue in it). Constantly chased by Mortensen, they manage to get the statue back and hide it in Kjelds pram. Unfortunately, Kjelds wife Yvonne is mad at Kjeld for leaving the pram outside on the sidewalk and takes it away and plans on going back to her mother. The gang now chases after Yvonne (with Mortensen on their tail) and finally succeed on getting the pram back. After almost getting caught, Egon makes a little speech, just before he realizes that the statue is not in the pram. Egon goes mad and leaves Benny and Kjeld behind while he chases after Yvonne. Kjeld and Benny however walk back home with the pram. Turns out that Yvonne didnt go to her mother and came back to Kjeld while Benny is driven home by Ulla. Egon is caught by the police on the boat where Yvonne was supposed to be. Two years later Egon is released and the gang continues to break the law.",NR,"Action & Adventure, Art House & International, Comedy",Erik Balling,N/A,N/A,"Ove Sprogøe, Morten Grunwald, Poul Bundgaard"
7,16012,The Pear Tree,N/A,N/A,N/A,N/A,N/A,"In this bittersweet Iranian drama, middle-aged author Mahmoud (Homayoun Ershadi) reflects on his youth, and the story flashes back to post-WW II Iran and awkward 11-year-old Mahmoud (Mohammad Reza Shaban-Noori) at a country estate north of Tehran where the youth falls under the spell of his 14-year-old female cousin known only as M (Golshifte Farahani). As Mahmouds infatuation increases, his adolescent dreams soar to creative, religious, and erotic heights. Decades later, a barren pear tree leads his memories back to M. Shown at the 1998 Fajr Film Festival. ~ Bhob Stewart, Rovi",NR,"Art House & International, Drama",Dariush Mehrjui,N/A,N/A,"Homayoun Ershadi, Golshifteh Farahani, Mohammad Reza Shaban-Noori"
8,16013,Road Movie,N/A,N/A,N/A,N/A,N/A,"Two truckers struggle to stay financially afloat in economic hard times in his downbeat highway drama. But to do so, they must battle the cops and the major conglomerates that threaten to overtake them. While driving they pick up a prostitute who offers her services in exchange for a lift to New York. They give her a ride, but when they refuse her favors she punishes them with long, dull stories about her miserable life. Eventually the self-destructive, angry young woman destroys them all.",R,"Drama, Special Interest",Joseph Strick,Grove Press,88 minutes,"Regina Baff, Barry Bostwick, Joe Pantoliano"
9,16014,Whisper,N/A,N/A,N/A,N/A,N/A,"An ex-con looking to start life anew with his loving fiancée resorts to extreme measures as a means of funding his lifelong dream in director Stewart Hendlers dark supernatural thriller. Max Truemont (Josh Holloway) has served his debt to society, and now he is ready to make a fresh start alongside his faithful fiancée, Roxanne (Sarah Wayne Callies). When the bank takes umbrage to Maxs manslaughter conviction and refuses to approve his loan application, the desperate recidivist soon joins forces with a pair of shady associates to carry out what promises to be a lucrative kidnapping. Upon abducting the eight-year-old son of the richest woman in the state, Max, Roxanne, and their criminal collaborators travel to a secluded and abandoned summer camp to await further instruction. Now, as loyalties begin to shift, suspicions arise, and the deteriorating situation appears to go into a menacing downward spiral, Max gradually begins to suspect that their young hostage may not be quite as innocent as outward appearances suggest.",R (for violence and terror),"Drama, Mystery & Suspense",Stewart Hendler,Universal Pictures,95 minutes,"Josh Holloway, Sarah Wayne Callies, Blake Woodruff"
10,16017,There Was a Father,N/A,100%,9,100%,448,"A widowed high school teacher finds that the more he tries to do what is best for his sons future, the more they are separated.",NR,"Art House & International, Drama",Yasujiro Ozu,Criterion Collection,87 minutes,"Mitsuko Mito, Chishu Ryu, Shin Saburi"
11,16019,Heartbreaker (L'Arnacoeur),"While definitely on the fluffier side of French comedy, Heartbreaker benefits from never taking itself too seriously -- and from the performance of the ever-charming Romain Duris.",68%,79,68%,15559,"HEARTBREAKER is an action-packed romantic comedy pairing two of Frances biggest young stars: Romain Duris (THE BEAT THAT MY HEART SKIPPED, PARIS) and actress/singer Vanessa Paradis (GIRL ON THE BRIDGE). A smash hit in France, the film was also featured at the Tribeca Film Festival. Charming, funny and effortlessly cool, Alex (Duris) is a professional heartbreaker who for a fee can turn any husband, fiance or boyfriend into an ex. Alex has one ironclad rule: He only breaks up couples where the woman is unhappy. His latest job will put that rule to the test. The target is Juliette, a beautiful heiress who is set to marry the man of her dreams. With ten days until the wedding, Alex has been hired by her father to carry out his most daring seduction yet that risks him being caught by his ruthless personal creditors, angry exes, and the beautiful and independent Juliette herself. But worst of all, will he discover to his own cost that when it comes to love, the perfect plan doesnt exist? This fall no one will be able to resist HEARTBREAKER. -- (C) IFC",PG,"Art House & International, Comedy, Romance","Pascal Chaumeil, Nicolas Duval-Adassovsky",Universal,104 minutes,"Romain Duris, Vanessa Paradis, Helena Noguiera"
12,16020,Of Gods and Men,"Patient and restrained, Of Gods and Men asks deep, profound questions that will linger in the audience's mind long after the movie.",92%,119,92%,14941,"Eight French Christian monks live in harmony with their Muslim brothers in a monastery perched in the mountains of North Africa in the 1990s. When a crew of foreign workers is massacred by an Islamic fundamentalist group, fear sweeps though the region. The army offers them protection, but the monks refuse. Should they leave? Despite the growing menace in their midst, they slowly realize that they have no choice but to stay... come what may. This film is loosely based on the life of the Cistercian monks of Tibhirine in Algeria, from 1993 until their kidnapping in 1996. -- (C) Sony Pictures Classics","PG-13 (for a momentary scene of startling wartime violence, some disturbing images and brief language)","Art House & International, Drama",Xavier Beauvois,Sony Pictures Classics,120 minutes,"Michael Lonsdale, Jacques Herlin, Lambert Wilson"
13,16021,12 Storeys,N/A,N/A,N/A,N/A,N/A,"As he did with his previous venture Mee Pok Man (1995), filmmaker Eric Khoo presents a look at the darker side of Singapore life, but this time he injects a sense of humor missing from the former. Comprised of three intercut, but unrelated stories, it is a chronicle of life in a large apartment block. The film begins on an early morning when a man quietly leaps from a 12-story apartment building while a radio cheerfully blares about the greatness of his native island. In one of the stories, a middle-aged fumbler of a husband tries to contend with his new bride, a self-absorbed gold digger looking only for fun. In another, a hyper-responsible, old-fashioned older brother, left in charge by his vacationing parents, tries to cope with his sexually active little sister and his baby brother. The third and briefest story deals with a lonely, overweight and depressive young woman who tries miserably to contend with a domineering, overly critical mother. ~ Sandra Brennan, Rovi",NR,"Comedy, Drama",Eric Khoo,N/A,N/A,"Jack Neo, Chuan Yi Fong, Boon Pin Koh"
14,16022,The Great Ecstasy of Robert Carmichael,N/A,40%,10,40%,636,,NR,"Drama, Horror",Thomas Clay,N/A,N/A,"Dan Spencer, Danny Dyer, Lesley Manville"
15,16023,Eastern Plays,N/A,N/A,N/A,N/A,N/A,"A man dealing with his demons tries to save his brother from being consumed by his own in this streetwise drama from Bulgaria. Christo (Christo Christov) is an artist struggling to hold onto his muse while he works in a furniture shop and wrestles with his addiction to alcohol and hard drugs. Christo has a younger brother named Georgi (Ovanes Torosian) who still lives with their emotionally abusive father (Ivan Nalbantov) and hangs out with a band of hard-drinking skinheads. One night, Christo goes on a bender after breaking up with his girlfriend, and while stumbling home he sees a gang of thugs beating up a Turkish man and his wife; he breaks up the fight but both he and the Turk are injured, the latter seriously enough to requite a stay in the hospital. While checking up on the man he rescued, Christo meets his daughter Isil (Saadet Isil Askoy) and is immediately smitten with her. However, hes crushed when she unexpectedly returns home to Turkey, and hes still carrying the secret that his brother was one of the skinheads who hurt Isils dad. Eastern Plays proved to be the first and last film for actor Christo Christov; he was a friend of director Kamen Kalev, who wrote the role with Christov in mind, but died in an accident shortly after work was completed on the picture.",NR,Drama,Kamen Kalev,Tiglon,88 minutes,"Ovanes Torosian, Nikolina Yancheva, Saadet Isil Aksoy"
16,16024,Drum,N/A,N/A,N/A,N/A,N/A,"In this sequel to Mandingo, a Southern plantation owner (Hammond Maxwell) and his young daughter are at odds when they both engage in sexual relations with the plantation slaves.",R,"Action & Adventure, Drama",Steve Carver,United Artists,100 minutes,"Ken Norton, Warren Oates, Isela Vega"
17,16025,Bombshell,N/A,N/A,N/A,N/A,N/A,"This sci-fi thriller is set in Los Angeles. The year is 2010 and the mega-corporation Nanolabs is feverishly preparing to market its latest medical marvel: a microscopic ""engine"" that can regenerate organic tissue at a cellular level and thereby provide the first real cure for cancer. Unfortunately, back in the lab, young scientist Buck Hogan (Henry Thomas) becomes increasingly concerned, as animal subjects implanted with the machines begin dying at an alarming rate. He voices his worries to the company CEO, but he is too interested in reaping the products profits and decides to release the unsafe substance anyway. Later, Buck is captured and knocked out. When he awakens, he discovers himself sans one kidney. In its place is a biodegradable sack filled with acid that will kill him if he doesnt get the antidote. The one who performed this ghastly deed, has even more evil plans for poor Buck who, before the story ends, will end up a human time bomb with very few seconds left on his life clock. If Buck cannot stop it, he will not only die, but the deadly new cancer cure will be released, thereby endangering the entire city.","R (for sexuality, violence, and language)","Action & Adventure, Science Fiction & Fantasy",Paul Wynne,N/A,N/A,"Henry Thomas, Brion James, Frank Whaley"
18,16026,Eastern Drift (Indigene D'eurasie),N/A,N/A,N/A,N/A,N/A,"Sharunas Bartas wrote, directed and stars in this thriller about a crook who efforts to get out of the business could cost him his life. Gena (Bartas) is a drug runner who has grown tired of the violence and unpredictability of his life, and he decides its time to go straight. Gena plans one last score which will give him enough money to get out of the business and relocate to France with his girlfriend Gabrielle (Elisa Sednaoui). But Gena finds himself between a rock and a hard place when one of his partners fails to pay him; in order to keep the deal in motion, Gena heads to Moscow to ask a mob boss for a much-needed loan. Genas former girlfriend Sasha (Klavdia Korshunova) gives him a place to stay for the night, but when the gangster decides he wants Gena out of the way for good, they both go on the run in fear of their lives. Indigene dEurasie (aka Eastern Drift) was an official selection at the 2010 Berlin International Film Festival.",NR,"Art House & International, Drama",Sharunas Bartas,N/A,N/A,"Elisa Sednaoui, Sharunas Bartas, Klavdiya Korshunova"
19,16029,Le amiche,N/A,100%,15,100%,691,"Roman couturier Clelia (Eleonora Rossi-Drago) leaves the big city to work at a boutique in Turin. She moves into a hotel and makes several new friends, but is soon drawn into their extremely unpleasant lives. Clelia enters a doomed relationship with a poor architects assistant (Ettore Manni), sees her new best friend Rosetta (Madeleine Fischer) commit suicide after being jilted by her married lover (Gabriele Ferzetti), and is eventually fired from her new job when her hysteria over Rosettas death interferes with her work. Clelia finally goes back to Rome, and viewers will not blame her a bit. Le Amiche, based on a 1949 article published in La Bella Estate (""Tre Donne Sole"" by Cesare Pavese), is perhaps Michelangelo Antonionis first great film. Juggling 10 characters with great aplomb, Antonioni and co-screenwriters Suso Cecchi DAmico and Alba De Cespedes have created a rich, interlocking narrative which manages to rise above mere melodrama through careful attention to the ebb and flow of interpersonal relationships and a keen sense of balance. The fine supporting cast includes Valentina Cortese, Yvonne Furneaux, and Franco Fabrizi.",NR,"Art House & International, Drama",Michelangelo Antonioni,Titanus Produzione,104 minutes,"Eleonora Rossi Drago, Gabriele Ferzetti, Franco Fabrizi"
20,16031,Paranormal Activity 2,"Paranormal Activity 2 doesn't cover any new ground, but its premise is still scary -- and in some respects, it's a better film than the original.",59%,135,59%,102956,The terror continues as a young couple copes with a potentially evil spirit in their suburban home.,R (for some language and brief violent material),"Horror, Mystery & Suspense",Tod Williams,Paramount Pictures,91 minutes,"Katie Featherston, Micah Sloat, Brian Boland"
21,16032,R,N/A,91%,11,91%,1376,"The prisoner R arrives to Denmarks toughest prison, where he is to serve a sentence for violent assault. R is reduced to a number, a letter, just another inmate. The prison is a parallel world filled with rules, honor, and debts. A world, in which bars cover the windows and blood stains the floor. R is placed in the most hardcore ward. Here he must find his place in the system, learn to navigate, and fight for survival. navigate, and fight for survival. -- (C) Olive Films",NR,"Art House & International, Drama","Tobias Lindholm, Michael Noer",Olvie Films,90 minutes,"Johan Philip Asbæk, Pilou Asbæk, Dulfi Al-Jaburi"
22,16033,Born to Raise Hell,N/A,N/A,N/A,N/A,N/A,"Hard case Interpol agent Samuel Axel (Steven Seagal) forges a shaky alliance with his sworn enemy in order to take down a ruthless Russian arms dealer with a penchant for killing cops. When one of his team members is brutally gunned down in Eastern Europe, Axel vows to see that justice is served. But just as he closes in on the Russian gun trafficker responsible for the killing, an all-out war explodes between the Russians and Gypsies. Just when it stars to look like Axels target may skate away scot free, the determined agent throws his cards on the table, and moves in for the kill.","R (for strong violence, language, some sexuality/nudity and drug use.)",Action & Adventure,Lauro Chartrand,N/A,N/A,"Steven Seagal, Dan Badarau, Darren Shahlavi"
