,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,28000,Tintin et moi (Tintin and Me) (Tintin and I),N/A,N/A,N/A,N/A,N/A,"A high-profiled documentary about Hergé and his major cartoon success, Tintin, based in part on previously unreleased archive tape footage.",NR,"Art House & International, Documentary, Musical & Performing Arts, Special Interest",Anders Østergaard,N/A,N/A,"Hergé, Michael Farr, Numa Sadoul"
1,28001,Reach Me,"Featuring a bewildering array of talented actors pummeled by disjointed direction and a dull, hackneyed script, Reach Me is so fundamentally misbegotten that its title reads more like a threat.",4%,23,4%,557,"A motivational book written by a mysterious man (Tom Berenger) goes viral and quickly gains popularity, inspiring a group of people that includes a journalist (Kevin Connolly), his editor (Sylvester Stallone), a former inmate (Kyra Sedgwick), a hip-hop mogul (Nelly), an actor (Cary Elwes) and an undercover cop (Thomas Jane) to re-evaluate their choices and decisions by confronting their fears in hopes of creating more positive lives. REACH ME also stars Terry Crews, Danny Aiello, Kelsey Grammer, Lauren Cohan, Ryan Kwanten, Tom Sizemore, and is written/directed by John Herzfield. The film is produced by Rebekah Chaney, Cassian Elwes, John Herzfield, and Buddy Patrick. (C) Millennium","PG-13 (for sexual content, violence, language, drug use, and smoking.)",Drama,John Herzfeld,Millennium Entertainment,95 minutes,"Kyra Sedgwick, Danny Aiello, Cary Elwes"
2,28003,Kiss of the Tarantula,N/A,N/A,N/A,N/A,N/A,An ostracized teen (Suzanne Ling) gains revenge on her tormentors with the help of her murderous pet tarantulas.,PG,"Horror, Mystery & Suspense",Chris Munger,VCI Entertainment,85 minutes,"Suzanne Ling, Eric Mason, Herman Wallner"
3,28004,Antarctica (Nankyoku Monogatari),N/A,N/A,N/A,N/A,N/A,"Somewhat reminiscent of The Incredible Journey and Milo and Otis -- though much harsher in its approach -- Antarctica focusses in on a team of sled dogs, owned by a team of snowbound Japanese researchers. A relief team is long overdue, forcing the dogs to fend for themselves. Eight of the dogs break free from their chains, roaming the Antarctic wastes in search of food and shelter. Only two of the dogs survive the ordeal, indication enough that this film is not specifically designed for the family trade. Based on a true story, Antarctica was a box-office smash in Japan, though this success was not repeated when the film was distributed internationally. ~ Hal Erickson, Rovi",G,"Action & Adventure, Drama",Koreyoshi Kurahara,N/A,N/A,"Ken Takakura, Tsunehiko Watase, Eiji Okada"
4,28006,The Incredible Rocky Mountain Race,N/A,N/A,N/A,N/A,N/A,"The cast of the sitcom F-Troop stars in this comic western about the people of St. Joseph, Missouri and their exasperation with the communitys most famous resident--Mark Twain (Christopher Connelly).",NR,"Comedy, Western",James L. Conway,N/A,N/A,"Parley Baer, Christopher Connelly, Forrest Tucker"
5,28008,Scourge,N/A,N/A,N/A,N/A,N/A,"An ancient evil takes over a small town, leaving the fate of the citizens in the hands of a local troublemaker with a bad reputation. Harbortown, Washington is being taken over by forces beyond human comprehension. Every six hours it feeds on a new victim, and searches for a fresh host. Though word of its existence travels fast, no one knows what it is or how to stop it. Now, as the infection spreads, the local bad boy makes it his personal mission to contain the threat before it takes over the entire human race. ~ Jason Buchanan, Rovi","R (for violence, gore and some language)","Horror, Mystery & Suspense, Science Fiction & Fantasy",Jonas Quastel,Grindstone Entertainment,90 minutes,"Nic Rhind, Robyn Ledoux, Russell Ferrier"
6,28009,The Last Gladiators,N/A,90%,10,90%,350,Academy Award (R) Winning Director Alex Gibney examines the NHLs most feared enforcers while also exploring the career of Chris Nilan. (c) Official FB,R (for language),"Documentary, Special Interest, Sports & Fitness",Alex Gibney,Phase 4 Films,94 minutes,"Chris Nilan, Tony Twist, Marty McSorley"
7,28010,Project Viper,N/A,N/A,N/A,N/A,N/A,"A NASA spacecraft taking an experimental bioengineered life form, named V.I.P.E.R., to live on Mars doesnt even make it out of Earths orbit before the thing escapes its pod and slays the crew. Luckily, NASA can cover up the disaster, because that creature is stuck in outer space. The bad news is, it wasnt the only V.I.P.E.R. made, and the other one has escaped its earthbound confines and is now haunting rural California, where it uses its tentacles to grab and devour anything that breathes. NASA sends its best off-the-books agent, Mike Conners (Patrick Muldoon), to find the creature and evaporate it. Conners is hindered by two things: hes been partnered with icy Dr. Burnham (Theresa Russell), who invented the critter, and someone behind the scenes at NASA has reason to see that Conners fails in his effort to slay the beast.","R (violence, language)",Science Fiction & Fantasy,Jim Wynorski,LionsGate Entertainment,89 minutes,"Patrick Muldoon, Theresa Russell, John Beck"
8,28011,Hardwired,N/A,N/A,N/A,N/A,N/A,"Academy Award-winner Cuba Gooding, Jr., Val Kilmer, and Michael Ironside headline this sci-fi action flick about a man who must fight for his life after receiving a lethal brain implant. Luke Gibson (Gooding, Jr.) nearly died in the car accident that killed his wife and unborn child, but upon awakening in the hospital it quickly becomes clear that his life is still in danger. A microchip has been implanted in Lukes brain, and now his every move is being monitored by Hope Industries, a powerful corporation headed by a ruthless executive (Kilmer). If Luke doesnt get it out of his head soon, hell become another brain-dead casualty of our corporate overlords. In order to regain of his own mind and prevent Hope Industries from achieving global domination, Luke seeks help from a team of highly intelligent computer hackers.",R,"Action & Adventure, Science Fiction & Fantasy",Ernie Barbarash,Sony Pictures Home Entertainment,94 minutes,"Cuba Gooding Jr., Val Kilmer, Robert Clarke"
9,28014,Kawa,N/A,N/A,N/A,N/A,N/A,"Based on the novel ""Nights in the Gardens of Spain"" by Witi Ihimaera - the author of ""THE WHALE RIDER,"" KAWA is a psychological drama of a family in crisis as Kawa, a successful businessman in Auckland, New Zealand, is forced to reveal his lifelong secret that he is gay.",NR,"Drama, Gay & Lesbian",Katie Wolfe,Wolfe Video,76 minutes,"Calvin Tuteao, Nathalie Boltt, George Henare"
10,28015,Adjust Your Tracking: The Untold Story of the VHS Collector,N/A,100%,5,100%,68,"Some see VHS as worthless plastic, but Adjust Your Tracking shows a vibrant world of collectors and movie fans who are keeping the format, and the movies, alive. Over 100 collectors, filmmakers, producers, and video store owners express how VHS changed their lives. Travel back to the days of video rental stores with those who still buy, sell, rent and trade the format that will not die - VHS. (c) VHSh*tfest",NR,"Documentary, Special Interest","Dan M. Kinem, Levi Peretic",VHSh*tfest,84 minutes,Lloyd Kaufman
11,28017,Min så kallade pappa (My So-Called Father),N/A,N/A,N/A,N/A,N/A,A daughter helps her estranged father whos lost his memory.,NR,"Art House & International, Drama",Ulf Malmros,N/A,N/A,"Michael Nyqvist, Vera Vitali, Sverrir Gudnason"
12,28018,100 Bloody Acres,N/A,79%,38,79%,1639,"In 100 BLOODY ACRES, brothers Reg and Lindsay Morgan are struggling to keep their organic blood and bone fertilizer business in motion. Their secret ""recipe"" for success (using dead car crash victims in their product) was a huge boon to business, but lately supply has been gravely low. Months have passed since their last find, and an important new customer is now waiting on a delivery. When junior partner Reg (Damon Herriman of Justified) stumbles upon 3 travelers stranded on a remote country road, he cooks up a radical solution to their problem, and a way of finally gaining the respect of his bossy big brother (Angus Sampson). But when Reg starts to fall for Sophie, one of the intended victims, things get complicated... A bloody good time, the Cairnes brothers witty horror-comedy blends sly Australian humor, gory fun, and a clever storyline that gives ""recycling"" a whole new context. (c) Doppelgänger Releasing",NR,"Comedy, Horror","Colin Cairnes, Cameron Cairnes",Doppelganger Releasing,91 minutes,"Damon Herriman, Angus Sampson, Anna McGahan"
13,28019,Father of a Soldier,N/A,N/A,N/A,N/A,N/A,"In this World War II drama, a Georgian farmer sets out across a war-ravaged Soviet Union to visit his son, a wounded soldier. His journey takes an unexpected turn when he is recruited into the Soviet army and reluctantly finds himself involved in an anti-German offensive.",NR,"Art House & International, Classics, Drama",Revaz Chkheidze,N/A,83 minutes,"Sergei Zakariadze, Vladimir Privaltsev, Alexei Nazarov"
14,28020,Street Days,N/A,N/A,N/A,N/A,N/A,"A man fallen into desperate straits is asked to betray one of the only friends he has left in this realistic drama. Checkie (Guga Kotetishvili) was his early twenties when the Soviet Union collapsed and the independence of the Georgian state led many to imagine a new era of grand possibilities. Two decades later those possibilities have passed Checkie by; hes become a heroin addict who uses whats left of his wits and ambition to scare up the money for a fix. Checkies wife has left him, and he only hears from her when she needs money to help support their son. Checkies acquaintances among the citys pushers and users includes Ika (Irakli Ramishvili), a reckless kid with a burning curiosity about drugs. Ikas father is Zaza (Zura Sharia), a childhood friend of Checkies who is now a respected politician and does what he can for his pal. A handful of corrupt cops think they can make a big score by busting Ika for dope and then extorting money from Zaza to keep the matter quiet; they need an insider to help, and they tell Checkie he has two choices -- go to jail or get paid to help them blackmail Zaza. Short on money for drugs and his son, Checkie warily agrees, but tries to find a way out of the scam before Ika and Zaza run afoul of the cops. Quchis Dgeebi (aka Street Days) was the first feature-length film from writer and director Levan Koguashvili. ~ Mark Deming, Rovi",NR,"Art House & International, Drama",Levan Koguashvili,N/A,N/A,"Guga Kotetisvili, Rusudan Kobiashvili, Irakli Ramishvili"
15,28023,Dead Season,N/A,N/A,N/A,N/A,N/A,"In the aftermath of the zombie apocalypse, desperate survivors Elvis and Tweeter flee America for the safety of a tropical island, only to find that the locals have lost their humanity, and pose an even greater danger than the flesh eaters back on familiar shores. In addition to be the first feature film shot on the Canon 7D camera, Dead Season also holds the unique distinction of being the first film shot on the island of Vieques, Puerto Rico since Peter Brooks Lord of the Flies. ~ Jason Buchanan, Rovi",NR,Horror,Adam Deyoe,N/A,N/A,"James C. Burns, Scott Peat, Marissa Merrill"
16,28025,Bat,N/A,N/A,N/A,N/A,N/A,,NR,Horror,,N/A,N/A,"Jack Pickford, Louise Fazenda, Eddie Cribbon"
17,28031,Private Worlds,N/A,N/A,N/A,N/A,N/A,The flow of life at a progressive psychiatric hospital is disturbed by the arrival of the conservative new superintendent and his sister.,NR,"Classics, Drama",Gregory La Cava,Paramount Pictures,84 minutes,"Claudette Colbert, Charles Boyer, Joel McCrea"
