,dataIndex,realTitle,criticsConcensus,tomatoMeter,tomatoCount,audienceScore,audienceCount,realSynopsis,rating,genreString,directedBy,studio,runTime,cast
0,0,Toy Story,"Entertaining as it is innovative, Toy Story reinvigorated animation while heralding the arrival of Pixar as a family-friendly force to be reckoned with.",100%,89,100%,1109209,"Woody, a traditional pull-string talking cowboy, has long enjoyed a place of honor as the favorite among six-year-old Andys menagerie of toys. Quick to calm their anxieties about being replaced by newer arrivals, Woody finds his own confidence shaken, and his status as top toy in jeopardy, upon the arrival of Buzz Lightyear, simply the coolest space action figure ever made. Woody plots to get rid of Buzz, but things backfire and he finds himself lost in the outside world with Buzz as his only companion. Joining forces to find their way home, the two rivals set out on an adventure that lands them in the clutches of Sid, a sadistic neighborhood kid who is notorious for dismembering and reassembling ""mutant"" toys in his bedroom. As ""guests"" of Sid and his dog, Scud, the two fugitive toys forge a genuine friendship and learn that only through mutual trust and respect do they have any chance of survival.",G,"Animation, Comedy, Kids & Family",John Lasseter,Buena Vista,80 minutes,"Tom Hanks, Tim Allen, Don Rickles"
1,1,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle uses a charming cast and a humorous twist to offer an undemanding yet solidly entertaining update on its source material.,76%,229,76%,39036,"When four high-school kids discover an old video game console with a game theyve never heard of--Jumanji--they are immediately drawn into the games jungle setting, literally becoming the avatars they chose: gamer Spencer becomes a brawny adventurer (Dwayne Johnson); football jock Fridge loses (in his words) ""the top two feet of his body"" and becomes an Einstein (Kevin Hart); popular girl Bethany becomes a middle-aged male professor (Jack Black); and wallflower Martha becomes a badass warrior (Karen Gillan). What they discover is that you dont just play Jumanji--you must survive it. To beat the game and return to the real world, theyll have to go on the most dangerous adventure of their lives, discover what Alan Parrish left 20 years ago, and change the way they think about themselves--or theyll be stuck in the game forever...","PG-13 (for adventure action, suggestive content and some language)","Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",Jake Kasdan,Columbia Pictures,112 minutes,"Dwayne Johnson, Jack Black, Kevin Hart"
2,2,Grumpier Old Men,N/A,17%,18,17%,70136,"Once again crusty Matthau and sly Lemmon bring forth their craftiest dirty tricks and sharpest barbs in this alternately poignant and hilarious sequel set six months after the wedding between Gustafson (Lemmon) and the luscious Ariel (Ann-Margret). As the story begins, the two pensioners have become grudging pals, content to suspend their constant practical jokes as their children prepare to marry each other. They still enjoy taunting each other at their favorite fishing lake. The fireworks really begin when they learn that the gorgeous and plucky Maria Ragetti (Sophia Loren) and her Italian mother have bought their beloved bait shop and plan to turn it into an Italian restaurant. The two devious fellows, hating the idea that anything should change in Wabasha, Minnesota, team up to keep that restaurant from opening, but Maria is having none of that nonsense and stands her ground. In the face of such feistiness, it is small wonder that Goldman finds himself falling in love, but will he succeed in subduing the equally stubborn Maria? Will he and Gustafson manage to maintain their tentative détente?",PG-13 (adult situations),Comedy,Howard Deutch,Warner Home Video,101 minutes,"Jack Lemmon, Walter Matthau, Ann-Margret"
3,3,Waiting to Exhale,Waiting to Exhale looks at life's ups and downs from an underseen perspective -- albeit one that's poorly served by uneven acting and a sporadically interesting story.,56%,27,56%,38212,"A surprise Hollywood hit, this film is based on the novel of the same name by Terry McMillan and centers on four well-to-do African-American women and their relationships with men and one another. All of them are ""holding their breath"" until the day they can feel comfortable in a committed relationship with a man. Robin (Lela Rochon) is the long-time mistress of Russell (Leon), who keeps reneging on his promise to leave his wife for her. She dumps him to find a man she can have to herself, but her dates with a reliable but unattractive business partner (Wendell Pierce) and a drug addict (Mykelti Williamson) send her back to Russell. Savannah (Whitney Houston) is a successful television producer who also believes that her married lover Kenneth (Dennis Haysbert) will leave his wife. Bernadine (Angela Bassett) is a wealthy woman who abandoned her own career to raise a family. Her husband is now leaving her to marry a white woman. Gloria (Loretta Devine) is a beauty salon owner and single mother raising a teenage son. After years alone, she falls in love with a new neighbor, Marvin (Gregory Hines). The women share their stories over lunches and conversations at Glorias salon.",R,"Comedy, Drama",Forest Whitaker,Twentieth Century Fox Home Entertainment,123 minutes,"Whitney Houston, Angela Bassett, Lela Rochon"
4,4,Father of the Bride: Part II,N/A,48%,21,48%,203054,"In this sequel, George Banks is going to be a grandpa, and hes not sure he likes the idea. Rather than accepting it gracefully, he immediately falls into a mid-life tailspin. However, when his wife Nina discovers that she too is pregnant, George really has his hands full.",PG,Comedy,Charles Shyer,Disney,106 minutes,"Steve Martin, Diane Keaton, Martin Short"
5,5,Upal (Heat),N/A,N/A,N/A,N/A,N/A,"Directed by renowned filmmaker Kazimierz Kutz, this cult classic provides a fascinating look into the early Polish variety theater, Kabaret Starszych Panow, or ""Old Gentlemens Cabaret."" Two top-hatted entertainers travel around town, creating mischief as they try to find performance locations. Along the way, they sing songs, tell jokes and perform sketches. Jeremi Przybora, Jerzy Wasowski and Barbara Krafftówna star in this surreal comedy.",NR,"Art House & International, Comedy, Musical & Performing Arts",Kazimierz Kutz,N/A,N/A,"Wieslaw Golas, Anna Gorna, Jerzy Bielenia"
6,6,Sabrina,N/A,N/A,N/A,N/A,N/A,A toymaker and his wife are terrorized by a demonized doll after their adopted child tries to summon her late mothers spirit using a spooky ritual.,NR,Horror,Rocky Soraya,Netflix,113 minutes,"Luna Maya, Christian Sugiono, Sara Wijayanto"
7,7,Tom and Huck,N/A,25%,8,25%,39481,"A lot of guys go looking for adventure. For Tom Sawyer and Huck Finn, adventure finds them at every turn. Town mischief-maker Tom, and his pal Huck, are in for the time of their lives as they team up to steal a pirates treasure map in order to save an innocent man from being wrongly convicted of a crime. However, the map they seek is in Injun Joes pocket. Now the incorrigible duo from Hannibal, Missouri must find a way to steal his map without being caught. But thats the least of their problems. As witnesses to a heinous crime, Tom and Huck are forced to run away from home. Presumed by the entire town to be lost in the Mighty Mississippi, they must decide whether to come forward and tell the truth, and risk certain retribution from the real perpetrator, Injun Joe, or keep quiet and let an innocent man be convicted. Faced with the most important decision of their lives, Tom and Huck must find the strength and courage to do what their hearts tell them is right.",PG,"Action & Adventure, Kids & Family",Peter Hewitt,Buena Vista,92 minutes,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig"
8,8,Sudden Death,N/A,N/A,N/A,N/A,N/A,In this violent drama a pair of thugs become professional killers.,R,Action & Adventure,"Eddie Romero, Richard Foreman",N/A,N/A,"John Ashley, Robert Conrad, Felton Perry"
9,9,GoldenEye,"The first and best Pierce Brosnan Bond film, GoldenEye brings the series into a more modern context, and the result is a 007 entry that's high-tech, action-packed, and urbane.",78%,77,78%,285510,"A beautiful Russian mobster and the evil General Ourumov take over a Space Weapons Control Station and arm an attack satellite. The ensuing destruction leaves only one survivor, and James Bond is sent in to investigate. There he makes a surprising discovery as to who is behind all the mayhem.",PG-13,"Action & Adventure, Mystery & Suspense",Martin Campbell,MGM/UA,130 minutes,"Pierce Brosnan, Sean Bean, Izabella Scorupco"
